game_pk,game_date,bucket,pitch_name
778561,2025-03-27,Inning_3_leadoff,FF
778561,2025-03-27,Inning_2_leadoff,FF
778561,2025-03-27,Batter_3,SL
778561,2025-03-27,Batter_2,FF
778480,2025-04-02,Inning_3_leadoff,FF
778480,2025-04-02,Inning_2_leadoff,FF
778480,2025-04-02,Batter_3,FF
778480,2025-04-02,Batter_2,FF
778410,2025-04-07,Inning_3_leadoff,FS
778410,2025-04-07,Inning_2_leadoff,FF
778410,2025-04-07,Batter_3,FF
778410,2025-04-07,Batter_2,FF
778343,2025-04-13,Inning_3_leadoff,FS
778343,2025-04-13,Inning_2_leadoff,FF
778343,2025-04-13,Batter_3,FF
778343,2025-04-13,Batter_2,FF
778262,2025-04-19,Inning_3_leadoff,FF
778262,2025-04-19,Inning_2_leadoff,FF
778262,2025-04-19,Batter_3,FF
778262,2025-04-19,Batter_2,FF
778161,2025-04-26,Inning_3_leadoff,FF
778161,2025-04-26,Inning_2_leadoff,SL
778161,2025-04-26,Batter_3,SL
778161,2025-04-26,Batter_2,SL
778087,2025-05-02,Inning_3_leadoff,FF
778087,2025-05-02,Inning_2_leadoff,FF
778087,2025-05-02,Batter_3,FF
778087,2025-05-02,Batter_2,FF
778023,2025-05-07,Inning_3_leadoff,FF
778023,2025-05-07,Inning_2_leadoff,SL
778023,2025-05-07,Batter_3,FF
778023,2025-05-07,Batter_2,FF
777811,2025-05-23,Inning_3_leadoff,SL
777811,2025-05-23,Inning_2_leadoff,FF
777811,2025-05-23,Batter_3,FF
777811,2025-05-23,Batter_2,SL
777733,2025-05-28,Inning_3_leadoff,SL
777733,2025-05-28,Inning_2_leadoff,FF
777733,2025-05-28,Batter_3,SL
777733,2025-05-28,Batter_2,SL
777668,2025-06-03,Inning_3_leadoff,SL
777668,2025-06-03,Inning_2_leadoff,SL
777668,2025-06-03,Batter_3,FF
777668,2025-06-03,Batter_2,SL
