bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,46.2
Batter_1,Sinker,6,46.2
Batter_1,Sweeper,1,7.7
Batter_2,4-Seam Fastball,4,30.8
Batter_2,Sinker,4,30.8
Batter_2,Slider,1,7.7
Batter_2,Sweeper,4,30.8
Batter_3,4-Seam Fastball,5,38.5
Batter_3,Changeup,1,7.7
Batter_3,Curveball,1,7.7
Batter_3,Sinker,5,38.5
Batter_3,Sweeper,1,7.7
Inning_2_leadoff,4-Seam Fastball,4,30.8
Inning_2_leadoff,Changeup,4,30.8
Inning_2_leadoff,Sinker,1,7.7
Inning_2_leadoff,Slider,3,23.1
Inning_2_leadoff,Sweeper,1,7.7
Inning_3_leadoff,4-Seam Fastball,3,25.0
Inning_3_leadoff,Changeup,1,8.3
Inning_3_leadoff,Curveball,1,8.3
Inning_3_leadoff,Sinker,4,33.3
Inning_3_leadoff,Slider,1,8.3
Inning_3_leadoff,Sweeper,2,16.7
