game_pk,game_date,bucket,pitch_name
778513,2025-03-30,Inning_3_leadoff,FF
778513,2025-03-30,Inning_2_leadoff,FF
778513,2025-03-30,Batter_3,SL
778513,2025-03-30,Batter_2,FF
778442,2025-04-05,Inning_3_leadoff,FF
778442,2025-04-05,Inning_2_leadoff,FF
778442,2025-04-05,Batter_3,ST
778442,2025-04-05,Batter_2,ST
778358,2025-04-11,Inning_3_leadoff,ST
778358,2025-04-11,Inning_2_leadoff,FF
778358,2025-04-11,Batter_3,ST
778358,2025-04-11,Batter_2,ST
778283,2025-04-17,Inning_3_leadoff,FF
778283,2025-04-17,Inning_2_leadoff,ST
778283,2025-04-17,Batter_3,FF
778283,2025-04-17,Batter_2,CH
778197,2025-04-23,Inning_3_leadoff,FF
778197,2025-04-23,Inning_2_leadoff,FF
778197,2025-04-23,Batter_3,FF
778197,2025-04-23,Batter_2,ST
778143,2025-04-28,Inning_3_leadoff,ST
778143,2025-04-28,Inning_2_leadoff,FF
778143,2025-04-28,Batter_3,FF
778143,2025-04-28,Batter_2,ST
778061,2025-05-04,Inning_3_leadoff,FF
778061,2025-05-04,Inning_2_leadoff,FF
778061,2025-05-04,Batter_3,CH
778061,2025-05-04,Batter_2,ST
777972,2025-05-10,Inning_3_leadoff,ST
777972,2025-05-10,Inning_2_leadoff,ST
777972,2025-05-10,Batter_3,CH
777972,2025-05-10,Batter_2,ST
777891,2025-05-16,Inning_3_leadoff,ST
777891,2025-05-16,Inning_2_leadoff,ST
777891,2025-05-16,Batter_3,SL
777891,2025-05-16,Batter_2,SL
777828,2025-05-21,Inning_3_leadoff,FF
777828,2025-05-21,Inning_2_leadoff,ST
777828,2025-05-21,Batter_3,FF
777828,2025-05-21,Batter_2,SL
777752,2025-05-27,Inning_3_leadoff,FF
777752,2025-05-27,Inning_2_leadoff,SI
777752,2025-05-27,Batter_3,ST
777752,2025-05-27,Batter_2,ST
777685,2025-06-01,Inning_3_leadoff,FF
777685,2025-06-01,Inning_2_leadoff,ST
777685,2025-06-01,Batter_3,ST
777685,2025-06-01,Batter_2,ST
777613,2025-06-06,Inning_3_leadoff,ST
777613,2025-06-06,Inning_2_leadoff,CH
777613,2025-06-06,Batter_3,FF
777613,2025-06-06,Batter_2,ST
777542,2025-06-11,Inning_3_leadoff,SI
777542,2025-06-11,Inning_2_leadoff,SL
777542,2025-06-11,Batter_3,ST
777542,2025-06-11,Batter_2,FF
777469,2025-06-17,Inning_3_leadoff,SL
777469,2025-06-17,Inning_2_leadoff,SI
777469,2025-06-17,Batter_3,CH
777469,2025-06-17,Batter_2,SI
777400,2025-06-22,Inning_3_leadoff,ST
777400,2025-06-22,Inning_2_leadoff,SL
777400,2025-06-22,Batter_3,SL
777400,2025-06-22,Batter_2,SI
777326,2025-06-28,Inning_3_leadoff,ST
777326,2025-06-28,Inning_2_leadoff,FF
777326,2025-06-28,Batter_3,FF
777326,2025-06-28,Batter_2,FF
