bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,3,17.6
Batter_2,Changeup,1,5.9
Batter_2,Sinker,2,11.8
Batter_2,Slider,2,11.8
Batter_2,Sweeper,9,52.9
Batter_3,4-Seam Fastball,6,35.3
Batter_3,Changeup,3,17.6
Batter_3,Slider,3,17.6
Batter_3,Sweeper,5,29.4
Inning_2_leadoff,4-Seam Fastball,7,41.2
Inning_2_leadoff,Changeup,1,5.9
Inning_2_leadoff,Sinker,2,11.8
Inning_2_leadoff,Slider,2,11.8
Inning_2_leadoff,Sweeper,5,29.4
Inning_3_leadoff,4-Seam Fastball,8,47.1
Inning_3_leadoff,Sinker,1,5.9
Inning_3_leadoff,Slider,1,5.9
Inning_3_leadoff,Sweeper,7,41.2
Leadoff_2nd_PA,4-Seam Fastball,4,100.0
