game_pk,game_date,bucket,pitch_name
822745,2026-04-23,Inning_3_leadoff,4-Seam Fastball
822745,2026-04-23,Inning_2_leadoff,Slider
822745,2026-04-23,Batter_3,4-Seam Fastball
822745,2026-04-23,Batter_2,Curveball
822745,2026-04-23,Batter_1,4-Seam Fastball
824930,2026-04-29,Inning_3_leadoff,4-Seam Fastball
824930,2026-04-29,Inning_2_leadoff,4-Seam Fastball
824930,2026-04-29,Batter_3,4-Seam Fastball
824930,2026-04-29,Batter_2,4-Seam Fastball
824930,2026-04-29,Batter_1,4-Seam Fastball
823143,2026-05-04,Inning_3_leadoff,Cutter
823143,2026-05-04,Inning_2_leadoff,Curveball
823143,2026-05-04,Batter_3,Cutter
823143,2026-05-04,Batter_2,Sinker
823143,2026-05-04,Batter_1,4-Seam Fastball
824928,2026-05-13,Inning_3_leadoff,Slider
824928,2026-05-13,Inning_2_leadoff,4-Seam Fastball
824928,2026-05-13,Batter_3,Slider
824928,2026-05-13,Batter_2,Curveball
824928,2026-05-13,Batter_1,4-Seam Fastball
823867,2026-05-18,Inning_3_leadoff,Cutter
823867,2026-05-18,Inning_2_leadoff,Cutter
823867,2026-05-18,Batter_3,Cutter
823867,2026-05-18,Batter_2,Curveball
823867,2026-05-18,Batter_1,4-Seam Fastball
824913,2026-06-17,Inning_3_leadoff,Cutter
824913,2026-06-17,Inning_2_leadoff,Sinker
824913,2026-06-17,Batter_3,Sinker
824913,2026-06-17,Batter_2,Changeup
824913,2026-06-17,Batter_1,4-Seam Fastball
823286,2026-06-23,Inning_3_leadoff,Slider
823286,2026-06-23,Inning_2_leadoff,Sinker
823286,2026-06-23,Batter_3,4-Seam Fastball
823286,2026-06-23,Batter_2,Sinker
823286,2026-06-23,Batter_1,Sinker
