bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,28,100.0
Batter_2,4-Seam Fastball,15,53.6
Batter_2,Knuckle Curve,3,10.7
Batter_2,Slider,10,35.7
Batter_3,4-Seam Fastball,8,28.6
Batter_3,Knuckle Curve,13,46.4
Batter_3,Sinker,1,3.6
Batter_3,Slider,6,21.4
Inning_2_leadoff,4-Seam Fastball,16,57.1
Inning_2_leadoff,Knuckle Curve,2,7.1
Inning_2_leadoff,Slider,10,35.7
Inning_3_leadoff,4-Seam Fastball,19,67.9
Inning_3_leadoff,Knuckle Curve,5,17.9
Inning_3_leadoff,Sinker,1,3.6
Inning_3_leadoff,Slider,3,10.7
