game_pk,game_date,bucket,pitch_name
778527,2025-03-30,Inning_3_leadoff,Slider
778527,2025-03-30,Inning_2_leadoff,Slider
778527,2025-03-30,Batter_3,Sinker
778527,2025-03-30,Batter_2,Sinker
778527,2025-03-30,Batter_1,Sinker
778437,2025-04-05,Inning_3_leadoff,Slider
778437,2025-04-05,Inning_2_leadoff,Slider
778437,2025-04-05,Batter_3,Sinker
778437,2025-04-05,Batter_2,Slider
778437,2025-04-05,Batter_1,Sinker
778368,2025-04-11,Inning_3_leadoff,Slider
778368,2025-04-11,Inning_2_leadoff,Sinker
778368,2025-04-11,Batter_3,Slider
778368,2025-04-11,Batter_2,Slider
778368,2025-04-11,Batter_1,Sinker
778281,2025-04-17,Inning_3_leadoff,4-Seam Fastball
778281,2025-04-17,Inning_2_leadoff,Slider
778281,2025-04-17,Batter_3,Sinker
778281,2025-04-17,Batter_2,Slider
778281,2025-04-17,Batter_1,Sinker
778202,2025-04-23,Inning_3_leadoff,Sinker
778202,2025-04-23,Inning_2_leadoff,Slider
778202,2025-04-23,Batter_3,Sinker
778202,2025-04-23,Batter_2,Sinker
778202,2025-04-23,Batter_1,Sinker
778121,2025-04-29,Inning_3_leadoff,Sinker
778121,2025-04-29,Inning_2_leadoff,Slider
778121,2025-04-29,Batter_3,Slider
778121,2025-04-29,Batter_2,Sinker
778121,2025-04-29,Batter_1,Sinker
778050,2025-05-04,Inning_3_leadoff,Sinker
778050,2025-05-04,Inning_2_leadoff,Sinker
778050,2025-05-04,Batter_3,4-Seam Fastball
778050,2025-05-04,Batter_2,Sinker
778050,2025-05-04,Batter_1,Sinker
777973,2025-05-10,Inning_3_leadoff,4-Seam Fastball
777973,2025-05-10,Inning_2_leadoff,Sinker
777973,2025-05-10,Batter_3,4-Seam Fastball
777973,2025-05-10,Batter_2,Slider
777973,2025-05-10,Batter_1,4-Seam Fastball
777899,2025-05-16,Inning_3_leadoff,Sinker
777899,2025-05-16,Inning_2_leadoff,Slider
777899,2025-05-16,Batter_3,Sinker
777899,2025-05-16,Batter_2,Sinker
777899,2025-05-16,Batter_1,Sinker
777828,2025-05-21,Inning_3_leadoff,Sinker
777828,2025-05-21,Inning_2_leadoff,Sinker
777828,2025-05-21,Batter_3,4-Seam Fastball
777828,2025-05-21,Batter_2,Sinker
777828,2025-05-21,Batter_1,Sinker
777763,2025-05-26,Inning_3_leadoff,Sinker
777763,2025-05-26,Inning_2_leadoff,Sinker
777763,2025-05-26,Batter_3,Sinker
777763,2025-05-26,Batter_2,Slider
777763,2025-05-26,Batter_1,Sinker
777683,2025-06-01,Inning_3_leadoff,Slider
777683,2025-06-01,Inning_2_leadoff,Sinker
777683,2025-06-01,Batter_3,Sinker
777683,2025-06-01,Batter_2,Sinker
777683,2025-06-01,Batter_1,Sinker
777603,2025-06-07,Inning_3_leadoff,Slider
777603,2025-06-07,Inning_2_leadoff,Slider
777603,2025-06-07,Batter_3,Sinker
777603,2025-06-07,Batter_2,Slider
777603,2025-06-07,Batter_1,Sinker
777539,2025-06-13,Inning_3_leadoff,Sinker
777539,2025-06-13,Inning_2_leadoff,Slider
777539,2025-06-13,Batter_3,Sinker
777539,2025-06-13,Batter_2,Slider
777539,2025-06-13,Batter_1,Sinker
777466,2025-06-18,Inning_3_leadoff,4-Seam Fastball
777466,2025-06-18,Inning_2_leadoff,Slider
777466,2025-06-18,Batter_3,4-Seam Fastball
777466,2025-06-18,Batter_2,Slider
777466,2025-06-18,Batter_1,Sinker
777381,2025-06-23,Inning_3_leadoff,4-Seam Fastball
777381,2025-06-23,Inning_2_leadoff,Slider
777381,2025-06-23,Batter_3,Sinker
777381,2025-06-23,Batter_2,4-Seam Fastball
777381,2025-06-23,Batter_1,Sinker
777305,2025-06-29,Inning_3_leadoff,Sinker
777305,2025-06-29,Inning_2_leadoff,Sinker
777305,2025-06-29,Batter_3,4-Seam Fastball
777305,2025-06-29,Batter_2,Sinker
777305,2025-06-29,Batter_1,Sinker
777231,2025-07-05,Inning_3_leadoff,Slider
777231,2025-07-05,Inning_2_leadoff,Slider
777231,2025-07-05,Batter_3,Sinker
777231,2025-07-05,Batter_2,Sinker
777231,2025-07-05,Batter_1,Sinker
777159,2025-07-10,Inning_3_leadoff,Changeup
777159,2025-07-10,Inning_2_leadoff,Sinker
777159,2025-07-10,Batter_3,Sinker
777159,2025-07-10,Batter_2,4-Seam Fastball
777159,2025-07-10,Batter_1,Sinker
776958,2025-07-28,Inning_3_leadoff,Sinker
776958,2025-07-28,Inning_2_leadoff,Sinker
776958,2025-07-28,Batter_3,4-Seam Fastball
776958,2025-07-28,Batter_2,Sinker
776958,2025-07-28,Batter_1,Sinker
776885,2025-08-03,Inning_3_leadoff,Sinker
776885,2025-08-03,Inning_2_leadoff,Sinker
776885,2025-08-03,Batter_3,Sinker
776885,2025-08-03,Batter_2,Sinker
776885,2025-08-03,Batter_1,4-Seam Fastball
776806,2025-08-10,Inning_3_leadoff,Sinker
776806,2025-08-10,Inning_2_leadoff,Sinker
776806,2025-08-10,Batter_3,4-Seam Fastball
776806,2025-08-10,Batter_2,Sinker
776806,2025-08-10,Batter_1,Sinker
776563,2025-08-27,Inning_3_leadoff,Sinker
776563,2025-08-27,Inning_2_leadoff,Changeup
776563,2025-08-27,Batter_3,Changeup
776563,2025-08-27,Batter_2,Sweeper
776563,2025-08-27,Batter_1,Sinker
