bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,7,77.8
Batter_1,Cutter,1,11.1
Batter_1,Sweeper,1,11.1
Batter_2,4-Seam Fastball,3,33.3
Batter_2,Changeup,1,11.1
Batter_2,Cutter,1,11.1
Batter_2,Sinker,1,11.1
Batter_2,Slider,1,11.1
Batter_2,Sweeper,2,22.2
Batter_3,4-Seam Fastball,3,33.3
Batter_3,Changeup,1,11.1
Batter_3,Cutter,3,33.3
Batter_3,Sweeper,2,22.2
Inning_2_leadoff,4-Seam Fastball,5,55.6
Inning_2_leadoff,Cutter,1,11.1
Inning_2_leadoff,Slider,1,11.1
Inning_2_leadoff,Sweeper,2,22.2
Inning_3_leadoff,4-Seam Fastball,4,50.0
Inning_3_leadoff,Sinker,1,12.5
Inning_3_leadoff,Slider,1,12.5
Inning_3_leadoff,Sweeper,2,25.0
