bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,8,50.0
Batter_2,Curveball,3,18.8
Batter_2,Slider,5,31.2
Batter_3,4-Seam Fastball,5,31.2
Batter_3,Curveball,4,25.0
Batter_3,Slider,7,43.8
Inning_2_leadoff,4-Seam Fastball,8,50.0
Inning_2_leadoff,Curveball,2,12.5
Inning_2_leadoff,Slider,6,37.5
Inning_3_leadoff,4-Seam Fastball,8,50.0
Inning_3_leadoff,Changeup,1,6.2
Inning_3_leadoff,Curveball,3,18.8
Inning_3_leadoff,Slider,4,25.0
Leadoff_2nd_PA,4-Seam Fastball,4,28.6
Leadoff_2nd_PA,Changeup,4,28.6
Leadoff_2nd_PA,Curveball,3,21.4
Leadoff_2nd_PA,Slider,3,21.4
