game_pk,game_date,bucket,pitch_name
823812,2026-03-26,Inning_3_leadoff,4-Seam Fastball
823812,2026-03-26,Inning_2_leadoff,4-Seam Fastball
823812,2026-03-26,Batter_3,4-Seam Fastball
823812,2026-03-26,Batter_2,Cutter
823812,2026-03-26,Batter_1,4-Seam Fastball
823806,2026-04-01,Inning_3_leadoff,4-Seam Fastball
823806,2026-04-01,Inning_2_leadoff,4-Seam Fastball
823806,2026-04-01,Batter_3,4-Seam Fastball
823806,2026-04-01,Batter_2,4-Seam Fastball
823806,2026-04-01,Batter_1,4-Seam Fastball
824780,2026-04-07,Inning_3_leadoff,4-Seam Fastball
824780,2026-04-07,Inning_2_leadoff,4-Seam Fastball
824780,2026-04-07,Batter_3,Curveball
824780,2026-04-07,Batter_2,4-Seam Fastball
824780,2026-04-07,Batter_1,4-Seam Fastball
823802,2026-04-14,Inning_3_leadoff,4-Seam Fastball
823802,2026-04-14,Inning_2_leadoff,Slider
823802,2026-04-14,Batter_3,4-Seam Fastball
823802,2026-04-14,Batter_2,4-Seam Fastball
823802,2026-04-14,Batter_1,4-Seam Fastball
823881,2026-04-19,Inning_3_leadoff,Cutter
823881,2026-04-19,Inning_2_leadoff,4-Seam Fastball
823881,2026-04-19,Batter_3,Cutter
823881,2026-04-19,Batter_2,4-Seam Fastball
823881,2026-04-19,Batter_1,4-Seam Fastball
823799,2026-04-25,Inning_3_leadoff,4-Seam Fastball
823799,2026-04-25,Inning_2_leadoff,4-Seam Fastball
823799,2026-04-25,Batter_3,4-Seam Fastball
823799,2026-04-25,Batter_2,4-Seam Fastball
823799,2026-04-25,Batter_1,4-Seam Fastball
822744,2026-05-01,Inning_3_leadoff,4-Seam Fastball
822744,2026-05-01,Inning_2_leadoff,4-Seam Fastball
822744,2026-05-01,Batter_3,4-Seam Fastball
822744,2026-05-01,Batter_2,4-Seam Fastball
822744,2026-05-01,Batter_1,4-Seam Fastball
823794,2026-05-08,Inning_3_leadoff,4-Seam Fastball
823794,2026-05-08,Inning_2_leadoff,Cutter
823794,2026-05-08,Batter_3,4-Seam Fastball
823794,2026-05-08,Batter_2,4-Seam Fastball
823794,2026-05-08,Batter_1,4-Seam Fastball
823791,2026-05-13,Inning_3_leadoff,4-Seam Fastball
823791,2026-05-13,Inning_2_leadoff,4-Seam Fastball
823791,2026-05-13,Batter_3,Slider
823791,2026-05-13,Batter_2,4-Seam Fastball
823791,2026-05-13,Batter_1,4-Seam Fastball
824677,2026-05-19,Inning_3_leadoff,4-Seam Fastball
824677,2026-05-19,Inning_2_leadoff,4-Seam Fastball
824677,2026-05-19,Batter_3,Cutter
824677,2026-05-19,Batter_2,Cutter
824677,2026-05-19,Batter_1,4-Seam Fastball
823784,2026-05-25,Inning_3_leadoff,4-Seam Fastball
823784,2026-05-25,Inning_2_leadoff,4-Seam Fastball
823784,2026-05-25,Batter_3,4-Seam Fastball
823784,2026-05-25,Batter_2,4-Seam Fastball
823784,2026-05-25,Batter_1,4-Seam Fastball
824187,2026-05-31,Inning_3_leadoff,4-Seam Fastball
824187,2026-05-31,Inning_2_leadoff,4-Seam Fastball
824187,2026-05-31,Batter_3,4-Seam Fastball
824187,2026-05-31,Batter_2,4-Seam Fastball
824187,2026-05-31,Batter_1,4-Seam Fastball
824351,2026-06-06,Inning_3_leadoff,4-Seam Fastball
824351,2026-06-06,Inning_2_leadoff,4-Seam Fastball
824351,2026-06-06,Batter_3,4-Seam Fastball
824351,2026-06-06,Batter_2,4-Seam Fastball
824351,2026-06-06,Batter_1,4-Seam Fastball
823778,2026-06-12,Inning_3_leadoff,4-Seam Fastball
823778,2026-06-12,Inning_2_leadoff,4-Seam Fastball
823778,2026-06-12,Batter_3,4-Seam Fastball
823778,2026-06-12,Batter_2,4-Seam Fastball
823778,2026-06-12,Batter_1,4-Seam Fastball
824910,2026-06-19,Inning_3_leadoff,4-Seam Fastball
824910,2026-06-19,Inning_2_leadoff,4-Seam Fastball
824910,2026-06-19,Batter_3,4-Seam Fastball
824910,2026-06-19,Batter_2,4-Seam Fastball
824910,2026-06-19,Batter_1,4-Seam Fastball
823773,2026-06-26,Inning_3_leadoff,4-Seam Fastball
823773,2026-06-26,Inning_2_leadoff,Cutter
823773,2026-06-26,Batter_3,4-Seam Fastball
823773,2026-06-26,Batter_2,4-Seam Fastball
823773,2026-06-26,Batter_1,4-Seam Fastball
823765,2026-07-02,Inning_3_leadoff,4-Seam Fastball
823765,2026-07-02,Inning_2_leadoff,4-Seam Fastball
823765,2026-07-02,Batter_3,Cutter
823765,2026-07-02,Batter_2,4-Seam Fastball
823765,2026-07-02,Batter_1,4-Seam Fastball
