bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,80.0
Batter_1,Curveball,1,3.3
Batter_1,Slider,5,16.7
Batter_2,4-Seam Fastball,22,73.3
Batter_2,Curveball,3,10.0
Batter_2,Slider,5,16.7
Batter_3,4-Seam Fastball,15,50.0
Batter_3,Curveball,6,20.0
Batter_3,Slider,9,30.0
Inning_2_leadoff,4-Seam Fastball,19,63.3
Inning_2_leadoff,Changeup,1,3.3
Inning_2_leadoff,Curveball,3,10.0
Inning_2_leadoff,Slider,7,23.3
Inning_3_leadoff,4-Seam Fastball,17,58.6
Inning_3_leadoff,Changeup,2,6.9
Inning_3_leadoff,Curveball,1,3.4
Inning_3_leadoff,Sinker,1,3.4
Inning_3_leadoff,Slider,8,27.6
