bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,21,95.5
Batter_1,Slider,1,4.5
Batter_2,4-Seam Fastball,10,45.5
Batter_2,Curveball,4,18.2
Batter_2,Cutter,1,4.5
Batter_2,Sinker,7,31.8
Batter_3,4-Seam Fastball,5,22.7
Batter_3,Changeup,1,4.5
Batter_3,Curveball,13,59.1
Batter_3,Sinker,3,13.6
Inning_2_leadoff,4-Seam Fastball,14,63.6
Inning_2_leadoff,Curveball,4,18.2
Inning_2_leadoff,Sinker,4,18.2
Inning_3_leadoff,4-Seam Fastball,10,45.5
Inning_3_leadoff,Curveball,8,36.4
Inning_3_leadoff,Sinker,4,18.2
