bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,17,100.0
Batter_2,4-Seam Fastball,8,47.1
Batter_2,Curveball,4,23.5
Batter_2,Cutter,4,23.5
Batter_2,Sweeper,1,5.9
Batter_3,4-Seam Fastball,8,47.1
Batter_3,Changeup,1,5.9
Batter_3,Curveball,3,17.6
Batter_3,Cutter,4,23.5
Batter_3,Slider,1,5.9
Inning_2_leadoff,4-Seam Fastball,13,76.5
Inning_2_leadoff,Cutter,4,23.5
Inning_3_leadoff,4-Seam Fastball,7,43.8
Inning_3_leadoff,Curveball,4,25.0
Inning_3_leadoff,Cutter,2,12.5
Inning_3_leadoff,Sinker,2,12.5
Inning_3_leadoff,Slider,1,6.2
