game_pk,game_date,bucket,pitch_name
823377,2026-05-29,Inning_3_leadoff,Changeup
823377,2026-05-29,Inning_2_leadoff,Changeup
823377,2026-05-29,Batter_3,4-Seam Fastball
823377,2026-05-29,Batter_2,4-Seam Fastball
823377,2026-05-29,Batter_1,4-Seam Fastball
824185,2026-06-04,Inning_3_leadoff,4-Seam Fastball
824185,2026-06-04,Inning_2_leadoff,Slider
824185,2026-06-04,Batter_3,Slider
824185,2026-06-04,Batter_2,Changeup
824185,2026-06-04,Batter_1,Slider
823372,2026-06-10,Inning_3_leadoff,4-Seam Fastball
823372,2026-06-10,Inning_2_leadoff,Slider
823372,2026-06-10,Batter_3,4-Seam Fastball
823372,2026-06-10,Batter_2,Slider
823372,2026-06-10,Batter_1,4-Seam Fastball
824993,2026-06-15,Inning_3_leadoff,4-Seam Fastball
824993,2026-06-15,Inning_2_leadoff,4-Seam Fastball
824993,2026-06-15,Batter_3,Changeup
824993,2026-06-15,Batter_2,Slider
824993,2026-06-15,Batter_1,4-Seam Fastball
824343,2026-06-21,Inning_3_leadoff,Slider
824343,2026-06-21,Inning_2_leadoff,Slider
824343,2026-06-21,Batter_3,Slider
824343,2026-06-21,Batter_2,4-Seam Fastball
824343,2026-06-21,Batter_1,4-Seam Fastball
823364,2026-06-27,Inning_3_leadoff,Slider
823364,2026-06-27,Inning_2_leadoff,Curveball
823364,2026-06-27,Batter_3,Changeup
823364,2026-06-27,Batter_2,4-Seam Fastball
823364,2026-06-27,Batter_1,4-Seam Fastball
823442,2026-07-02,Inning_3_leadoff,4-Seam Fastball
823442,2026-07-02,Inning_2_leadoff,4-Seam Fastball
823442,2026-07-02,Batter_3,Curveball
823442,2026-07-02,Batter_2,Curveball
823442,2026-07-02,Batter_1,4-Seam Fastball
823360,2026-07-08,Inning_3_leadoff,4-Seam Fastball
823360,2026-07-08,Inning_2_leadoff,4-Seam Fastball
823360,2026-07-08,Batter_3,Slider
823360,2026-07-08,Batter_2,4-Seam Fastball
823360,2026-07-08,Batter_1,4-Seam Fastball
824414,2026-07-18,Inning_3_leadoff,4-Seam Fastball
824414,2026-07-18,Inning_2_leadoff,4-Seam Fastball
824414,2026-07-18,Batter_3,Slider
824414,2026-07-18,Batter_2,4-Seam Fastball
824414,2026-07-18,Batter_1,4-Seam Fastball
