bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,8,57.1
Batter_1,Sinker,6,42.9
Batter_2,4-Seam Fastball,5,35.7
Batter_2,Changeup,1,7.1
Batter_2,Sinker,5,35.7
Batter_2,Sweeper,3,21.4
Batter_3,4-Seam Fastball,2,14.3
Batter_3,Changeup,1,7.1
Batter_3,Sinker,5,35.7
Batter_3,Sweeper,6,42.9
Inning_2_leadoff,4-Seam Fastball,5,35.7
Inning_2_leadoff,Changeup,1,7.1
Inning_2_leadoff,Sinker,6,42.9
Inning_2_leadoff,Sweeper,2,14.3
Inning_3_leadoff,4-Seam Fastball,5,35.7
Inning_3_leadoff,Sinker,6,42.9
Inning_3_leadoff,Sweeper,3,21.4
