game_pk,game_date,bucket,pitch_name
824865,2026-03-26,Inning_3_leadoff,Slider
824865,2026-03-26,Inning_2_leadoff,4-Seam Fastball
824865,2026-03-26,Batter_3,4-Seam Fastball
824865,2026-03-26,Batter_2,4-Seam Fastball
824865,2026-03-26,Batter_1,4-Seam Fastball
824136,2026-04-01,Inning_3_leadoff,4-Seam Fastball
824136,2026-04-01,Inning_2_leadoff,4-Seam Fastball
824136,2026-04-01,Batter_3,4-Seam Fastball
824136,2026-04-01,Batter_2,4-Seam Fastball
824136,2026-04-01,Batter_1,4-Seam Fastball
823728,2026-04-06,Inning_3_leadoff,4-Seam Fastball
823728,2026-04-06,Inning_2_leadoff,4-Seam Fastball
823728,2026-04-06,Batter_3,4-Seam Fastball
823728,2026-04-06,Batter_2,4-Seam Fastball
823728,2026-04-06,Batter_1,4-Seam Fastball
822830,2026-04-11,Inning_3_leadoff,4-Seam Fastball
822830,2026-04-11,Inning_2_leadoff,4-Seam Fastball
822830,2026-04-11,Batter_3,Slider
822830,2026-04-11,Batter_2,4-Seam Fastball
822830,2026-04-11,Batter_1,Slider
823720,2026-04-17,Inning_3_leadoff,4-Seam Fastball
823720,2026-04-17,Inning_2_leadoff,Slider
823720,2026-04-17,Batter_3,4-Seam Fastball
823720,2026-04-17,Batter_2,4-Seam Fastball
823720,2026-04-17,Batter_1,4-Seam Fastball
823639,2026-04-23,Inning_3_leadoff,Knuckle Curve
823639,2026-04-23,Inning_2_leadoff,Slider
823639,2026-04-23,Batter_3,Sinker
823639,2026-04-23,Batter_2,4-Seam Fastball
823639,2026-04-23,Batter_1,4-Seam Fastball
823716,2026-04-28,Inning_3_leadoff,4-Seam Fastball
823716,2026-04-28,Inning_2_leadoff,4-Seam Fastball
823716,2026-04-28,Batter_3,Sinker
823716,2026-04-28,Batter_2,4-Seam Fastball
823716,2026-04-28,Batter_1,4-Seam Fastball
823711,2026-05-03,Batter_2,4-Seam Fastball
823711,2026-05-03,Batter_1,4-Seam Fastball
824444,2026-05-09,Inning_3_leadoff,Sinker
824444,2026-05-09,Inning_2_leadoff,Sweeper
824444,2026-05-09,Batter_3,4-Seam Fastball
824444,2026-05-09,Batter_2,4-Seam Fastball
824444,2026-05-09,Batter_1,4-Seam Fastball
823707,2026-05-15,Inning_3_leadoff,Knuckle Curve
823707,2026-05-15,Inning_2_leadoff,4-Seam Fastball
823707,2026-05-15,Batter_3,Slider
823707,2026-05-15,Batter_2,4-Seam Fastball
823707,2026-05-15,Batter_1,4-Seam Fastball
823703,2026-05-20,Inning_3_leadoff,4-Seam Fastball
823703,2026-05-20,Inning_2_leadoff,4-Seam Fastball
823703,2026-05-20,Batter_3,Sweeper
823703,2026-05-20,Batter_2,Sweeper
823703,2026-05-20,Batter_1,4-Seam Fastball
824597,2026-05-26,Inning_3_leadoff,Sweeper
824597,2026-05-26,Inning_2_leadoff,4-Seam Fastball
824597,2026-05-26,Batter_3,4-Seam Fastball
824597,2026-05-26,Batter_2,Sweeper
824597,2026-05-26,Batter_1,4-Seam Fastball
823702,2026-06-01,Inning_3_leadoff,4-Seam Fastball
823702,2026-06-01,Inning_2_leadoff,4-Seam Fastball
823702,2026-06-01,Batter_3,4-Seam Fastball
823702,2026-06-01,Batter_2,4-Seam Fastball
823702,2026-06-01,Batter_1,4-Seam Fastball
823697,2026-06-06,Inning_3_leadoff,4-Seam Fastball
823697,2026-06-06,Inning_2_leadoff,4-Seam Fastball
823697,2026-06-06,Batter_3,4-Seam Fastball
823697,2026-06-06,Batter_2,4-Seam Fastball
823697,2026-06-06,Batter_1,4-Seam Fastball
823695,2026-06-12,Inning_3_leadoff,Split-Finger
823695,2026-06-12,Inning_2_leadoff,4-Seam Fastball
823695,2026-06-12,Batter_3,Sweeper
823695,2026-06-12,Batter_2,Sweeper
823695,2026-06-12,Batter_1,4-Seam Fastball
822889,2026-06-18,Inning_3_leadoff,4-Seam Fastball
822889,2026-06-18,Inning_2_leadoff,4-Seam Fastball
822889,2026-06-18,Batter_3,4-Seam Fastball
822889,2026-06-18,Batter_2,4-Seam Fastball
822889,2026-06-18,Batter_1,4-Seam Fastball
823691,2026-06-24,Inning_3_leadoff,4-Seam Fastball
823691,2026-06-24,Inning_2_leadoff,4-Seam Fastball
823691,2026-06-24,Batter_3,Sinker
823691,2026-06-24,Batter_2,4-Seam Fastball
823691,2026-06-24,Batter_1,4-Seam Fastball
