bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,15,93.8
Batter_1,Slider,1,6.2
Batter_2,4-Seam Fastball,13,81.2
Batter_2,Sweeper,3,18.8
Batter_3,4-Seam Fastball,9,60.0
Batter_3,Sinker,2,13.3
Batter_3,Slider,2,13.3
Batter_3,Sweeper,2,13.3
Inning_2_leadoff,4-Seam Fastball,12,80.0
Inning_2_leadoff,Slider,2,13.3
Inning_2_leadoff,Sweeper,1,6.7
Inning_3_leadoff,4-Seam Fastball,9,60.0
Inning_3_leadoff,Knuckle Curve,2,13.3
Inning_3_leadoff,Sinker,1,6.7
Inning_3_leadoff,Slider,1,6.7
Inning_3_leadoff,Split-Finger,1,6.7
Inning_3_leadoff,Sweeper,1,6.7
