game_pk,game_date,bucket,pitch_name
823161,2026-03-28,Inning_3_leadoff,Slider
823161,2026-03-28,Inning_2_leadoff,Slider
823161,2026-03-28,Batter_3,Slider
823161,2026-03-28,Batter_2,Curveball
823161,2026-03-28,Batter_1,4-Seam Fastball
824458,2026-04-03,Inning_3_leadoff,Slider
824458,2026-04-03,Inning_2_leadoff,4-Seam Fastball
824458,2026-04-03,Batter_3,Changeup
824458,2026-04-03,Batter_2,4-Seam Fastball
824458,2026-04-03,Batter_1,4-Seam Fastball
824455,2026-04-08,Inning_3_leadoff,4-Seam Fastball
824455,2026-04-08,Inning_2_leadoff,4-Seam Fastball
824455,2026-04-08,Batter_3,4-Seam Fastball
824455,2026-04-08,Batter_2,4-Seam Fastball
824455,2026-04-08,Batter_1,4-Seam Fastball
823072,2026-04-14,Inning_3_leadoff,4-Seam Fastball
823072,2026-04-14,Inning_2_leadoff,4-Seam Fastball
823072,2026-04-14,Batter_3,4-Seam Fastball
823072,2026-04-14,Batter_2,4-Seam Fastball
823072,2026-04-14,Batter_1,4-Seam Fastball
824452,2026-04-19,Inning_3_leadoff,4-Seam Fastball
824452,2026-04-19,Inning_2_leadoff,4-Seam Fastball
824452,2026-04-19,Batter_3,Changeup
824452,2026-04-19,Batter_2,4-Seam Fastball
824452,2026-04-19,Batter_1,4-Seam Fastball
822826,2026-04-25,Inning_3_leadoff,4-Seam Fastball
822826,2026-04-25,Inning_2_leadoff,Curveball
822826,2026-04-25,Batter_3,Curveball
822826,2026-04-25,Batter_2,4-Seam Fastball
822826,2026-04-25,Batter_1,4-Seam Fastball
825012,2026-05-01,Inning_3_leadoff,Changeup
825012,2026-05-01,Inning_2_leadoff,4-Seam Fastball
825012,2026-05-01,Batter_3,Slider
825012,2026-05-01,Batter_2,4-Seam Fastball
825012,2026-05-01,Batter_1,4-Seam Fastball
824118,2026-05-06,Inning_3_leadoff,4-Seam Fastball
824118,2026-05-06,Inning_2_leadoff,Changeup
824118,2026-05-06,Batter_3,4-Seam Fastball
824118,2026-05-06,Batter_2,4-Seam Fastball
824118,2026-05-06,Batter_1,4-Seam Fastball
824441,2026-05-11,Inning_3_leadoff,4-Seam Fastball
824441,2026-05-11,Inning_2_leadoff,Curveball
824441,2026-05-11,Batter_3,4-Seam Fastball
824441,2026-05-11,Batter_2,4-Seam Fastball
824441,2026-05-11,Batter_1,Changeup
824435,2026-05-16,Inning_3_leadoff,4-Seam Fastball
824435,2026-05-16,Inning_2_leadoff,Slider
824435,2026-05-16,Batter_3,4-Seam Fastball
824435,2026-05-16,Batter_2,4-Seam Fastball
824435,2026-05-16,Batter_1,4-Seam Fastball
824274,2026-05-21,Inning_3_leadoff,Changeup
824274,2026-05-21,Inning_2_leadoff,4-Seam Fastball
824274,2026-05-21,Batter_3,Changeup
824274,2026-05-21,Batter_2,4-Seam Fastball
824274,2026-05-21,Batter_1,4-Seam Fastball
824434,2026-05-26,Inning_2_leadoff,4-Seam Fastball
824434,2026-05-26,Batter_3,Curveball
824434,2026-05-26,Batter_2,4-Seam Fastball
824434,2026-05-26,Batter_1,4-Seam Fastball
823541,2026-06-02,Inning_3_leadoff,4-Seam Fastball
823541,2026-06-02,Inning_2_leadoff,Cutter
823541,2026-06-02,Batter_3,Curveball
823541,2026-06-02,Batter_2,Curveball
823541,2026-06-02,Batter_1,4-Seam Fastball
822890,2026-06-07,Inning_3_leadoff,4-Seam Fastball
822890,2026-06-07,Inning_2_leadoff,Slider
822890,2026-06-07,Batter_3,Slider
822890,2026-06-07,Batter_2,Cutter
822890,2026-06-07,Batter_1,4-Seam Fastball
824426,2026-06-13,Inning_3_leadoff,4-Seam Fastball
824426,2026-06-13,Inning_2_leadoff,Cutter
824426,2026-06-13,Batter_3,Curveball
824426,2026-06-13,Batter_2,4-Seam Fastball
824426,2026-06-13,Batter_1,4-Seam Fastball
824180,2026-06-20,Inning_3_leadoff,Changeup
824180,2026-06-20,Inning_2_leadoff,4-Seam Fastball
824180,2026-06-20,Batter_3,Curveball
824180,2026-06-20,Batter_2,Cutter
824180,2026-06-20,Batter_1,4-Seam Fastball
824423,2026-06-26,Inning_3_leadoff,Curveball
824423,2026-06-26,Inning_2_leadoff,Slider
824423,2026-06-26,Batter_3,Changeup
824423,2026-06-26,Batter_2,Curveball
824423,2026-06-26,Batter_1,4-Seam Fastball
824419,2026-07-01,Inning_3_leadoff,4-Seam Fastball
824419,2026-07-01,Inning_2_leadoff,Curveball
824419,2026-07-01,Batter_3,4-Seam Fastball
824419,2026-07-01,Batter_2,Cutter
824419,2026-07-01,Batter_1,4-Seam Fastball
823687,2026-07-07,Inning_3_leadoff,4-Seam Fastball
823687,2026-07-07,Inning_2_leadoff,4-Seam Fastball
823687,2026-07-07,Batter_3,4-Seam Fastball
823687,2026-07-07,Batter_2,Changeup
823687,2026-07-07,Batter_1,4-Seam Fastball
