bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,25,86.2
Batter_1,Changeup,2,6.9
Batter_1,Curveball,2,6.9
Batter_2,4-Seam Fastball,16,55.2
Batter_2,Changeup,2,6.9
Batter_2,Curveball,6,20.7
Batter_2,Cutter,5,17.2
Batter_3,4-Seam Fastball,14,48.3
Batter_3,Changeup,5,17.2
Batter_3,Curveball,7,24.1
Batter_3,Slider,3,10.3
Inning_2_leadoff,4-Seam Fastball,11,39.3
Inning_2_leadoff,Changeup,2,7.1
Inning_2_leadoff,Curveball,4,14.3
Inning_2_leadoff,Cutter,7,25.0
Inning_2_leadoff,Slider,4,14.3
Inning_3_leadoff,4-Seam Fastball,14,51.9
Inning_3_leadoff,Changeup,3,11.1
Inning_3_leadoff,Curveball,5,18.5
Inning_3_leadoff,Cutter,3,11.1
Inning_3_leadoff,Slider,2,7.4
