bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,11,42.3
Batter_1,Sinker,15,57.7
Batter_2,4-Seam Fastball,5,19.2
Batter_2,Sinker,18,69.2
Batter_2,Slurve,3,11.5
Batter_3,4-Seam Fastball,8,30.8
Batter_3,Cutter,2,7.7
Batter_3,Sinker,11,42.3
Batter_3,Slurve,5,19.2
Inning_2_leadoff,4-Seam Fastball,9,34.6
Inning_2_leadoff,Changeup,2,7.7
Inning_2_leadoff,Sinker,12,46.2
Inning_2_leadoff,Slurve,3,11.5
Inning_3_leadoff,4-Seam Fastball,6,23.1
Inning_3_leadoff,Cutter,1,3.8
Inning_3_leadoff,Sinker,14,53.8
Inning_3_leadoff,Slurve,5,19.2
