game_pk,game_date,bucket,pitch_name
823891,2026-03-29,Inning_3_leadoff,Sinker
823891,2026-03-29,Inning_2_leadoff,Curveball
823891,2026-03-29,Batter_3,4-Seam Fastball
823891,2026-03-29,Batter_2,4-Seam Fastball
823891,2026-03-29,Batter_1,4-Seam Fastball
824209,2026-04-15,Inning_3_leadoff,Sinker
824209,2026-04-15,Inning_2_leadoff,4-Seam Fastball
824209,2026-04-15,Batter_3,Changeup
824209,2026-04-15,Batter_2,4-Seam Fastball
824209,2026-04-15,Batter_1,Sinker
824370,2026-04-20,Inning_3_leadoff,4-Seam Fastball
824370,2026-04-20,Inning_2_leadoff,4-Seam Fastball
824370,2026-04-20,Batter_3,Curveball
824370,2026-04-20,Batter_2,4-Seam Fastball
824370,2026-04-20,Batter_1,Curveball
823635,2026-04-26,Inning_3_leadoff,Sinker
823635,2026-04-26,Inning_2_leadoff,4-Seam Fastball
823635,2026-04-26,Batter_3,Curveball
823635,2026-04-26,Batter_2,Slurve
823635,2026-04-26,Batter_1,Sinker
824366,2026-05-01,Inning_3_leadoff,Sinker
824366,2026-05-01,Inning_2_leadoff,4-Seam Fastball
824366,2026-05-01,Batter_3,Curveball
824366,2026-05-01,Batter_2,Slurve
824366,2026-05-01,Batter_1,Curveball
824362,2026-05-07,Inning_3_leadoff,Curveball
824362,2026-05-07,Inning_2_leadoff,Curveball
824362,2026-05-07,Batter_3,Changeup
824362,2026-05-07,Batter_2,Sinker
824362,2026-05-07,Batter_1,4-Seam Fastball
823386,2026-05-13,Inning_3_leadoff,4-Seam Fastball
823386,2026-05-13,Inning_2_leadoff,Sinker
823386,2026-05-13,Batter_3,Changeup
823386,2026-05-13,Batter_2,4-Seam Fastball
823386,2026-05-13,Batter_1,Curveball
824357,2026-05-18,Inning_3_leadoff,4-Seam Fastball
824357,2026-05-18,Inning_2_leadoff,4-Seam Fastball
824357,2026-05-18,Batter_3,Curveball
824357,2026-05-18,Batter_2,Sinker
824357,2026-05-18,Batter_1,4-Seam Fastball
825081,2026-05-24,Inning_2_leadoff,Sinker
825081,2026-05-24,Batter_3,Changeup
825081,2026-05-24,Batter_2,Slurve
