bucket,pitch_name,count,pct
Batter_1,Sinker,27,100.0
Batter_2,4-Seam Fastball,1,3.7
Batter_2,Knuckle Curve,10,37.0
Batter_2,Sinker,16,59.3
Batter_3,4-Seam Fastball,3,11.1
Batter_3,Knuckle Curve,6,22.2
Batter_3,Sinker,18,66.7
Inning_2_leadoff,4-Seam Fastball,4,14.8
Inning_2_leadoff,Knuckle Curve,7,25.9
Inning_2_leadoff,Sinker,16,59.3
Inning_3_leadoff,4-Seam Fastball,3,11.1
Inning_3_leadoff,Knuckle Curve,10,37.0
Inning_3_leadoff,Sinker,12,44.4
Inning_3_leadoff,Slider,1,3.7
Inning_3_leadoff,Split-Finger,1,3.7
