bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,10,35.7
Batter_1,Sinker,17,60.7
Batter_1,Split-Finger,1,3.6
Batter_2,4-Seam Fastball,6,21.4
Batter_2,Knuckle Curve,8,28.6
Batter_2,Sinker,13,46.4
Batter_2,Split-Finger,1,3.6
Batter_3,4-Seam Fastball,7,25.0
Batter_3,Knuckle Curve,10,35.7
Batter_3,Sinker,9,32.1
Batter_3,Slider,1,3.6
Batter_3,Split-Finger,1,3.6
Inning_2_leadoff,4-Seam Fastball,7,25.0
Inning_2_leadoff,Knuckle Curve,9,32.1
Inning_2_leadoff,Sinker,8,28.6
Inning_2_leadoff,Split-Finger,4,14.3
Inning_3_leadoff,4-Seam Fastball,6,21.4
Inning_3_leadoff,Knuckle Curve,7,25.0
Inning_3_leadoff,Sinker,9,32.1
Inning_3_leadoff,Slider,1,3.6
Inning_3_leadoff,Split-Finger,5,17.9
