game_pk,game_date,bucket,pitch_name
778540,2025-03-29,Inning_3_leadoff,ST
778540,2025-03-29,Inning_2_leadoff,ST
778540,2025-03-29,Batter_3,FF
778540,2025-03-29,Batter_2,FF
778444,2025-04-04,Inning_3_leadoff,FF
778444,2025-04-04,Inning_2_leadoff,CH
778444,2025-04-04,Batter_3,FF
778444,2025-04-04,Batter_2,FF
778376,2025-04-09,Inning_3_leadoff,ST
778376,2025-04-09,Inning_2_leadoff,CH
778376,2025-04-09,Batter_3,CH
778376,2025-04-09,Batter_2,SL
778313,2025-04-15,Inning_3_leadoff,ST
778313,2025-04-15,Inning_2_leadoff,FF
778313,2025-04-15,Batter_3,SL
778313,2025-04-15,Batter_2,FF
778232,2025-04-20,Inning_3_leadoff,ST
778232,2025-04-20,Inning_2_leadoff,FF
778232,2025-04-20,Batter_3,FF
778232,2025-04-20,Batter_2,FF
778171,2025-04-25,Inning_3_leadoff,SL
778171,2025-04-25,Inning_2_leadoff,SL
778171,2025-04-25,Batter_3,FF
778171,2025-04-25,Batter_2,ST
778098,2025-05-01,Inning_3_leadoff,FF
778098,2025-05-01,Inning_2_leadoff,FF
778098,2025-05-01,Batter_3,FF
778098,2025-05-01,Batter_2,FF
778027,2025-05-06,Inning_3_leadoff,SL
778027,2025-05-06,Inning_2_leadoff,SL
778027,2025-05-06,Batter_3,FF
778027,2025-05-06,Batter_2,SL
777939,2025-05-12,Inning_3_leadoff,CH
777939,2025-05-12,Inning_2_leadoff,FF
777939,2025-05-12,Batter_3,FF
777939,2025-05-12,Batter_2,CH
777867,2025-05-18,Inning_3_leadoff,FF
777867,2025-05-18,Inning_2_leadoff,ST
777867,2025-05-18,Batter_3,FF
777867,2025-05-18,Batter_2,FF
777454,2025-06-18,Inning_3_leadoff,CU
777454,2025-06-18,Inning_2_leadoff,FF
777454,2025-06-18,Batter_3,SL
777454,2025-06-18,Batter_2,CH
777364,2025-06-24,Inning_3_leadoff,FF
777364,2025-06-24,Inning_2_leadoff,FF
777364,2025-06-24,Batter_3,SL
777364,2025-06-24,Batter_2,CH
777311,2025-06-29,Inning_3_leadoff,FF
777311,2025-06-29,Inning_2_leadoff,CU
777311,2025-06-29,Batter_3,FF
777311,2025-06-29,Batter_2,FF
