bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,96.0
Batter_1,Slider,1,4.0
Batter_2,4-Seam Fastball,15,60.0
Batter_2,Changeup,4,16.0
Batter_2,Curveball,1,4.0
Batter_2,Slider,4,16.0
Batter_2,Sweeper,1,4.0
Batter_3,4-Seam Fastball,13,52.0
Batter_3,Changeup,1,4.0
Batter_3,Curveball,5,20.0
Batter_3,Slider,4,16.0
Batter_3,Sweeper,2,8.0
Inning_2_leadoff,4-Seam Fastball,12,48.0
Inning_2_leadoff,Changeup,3,12.0
Inning_2_leadoff,Curveball,6,24.0
Inning_2_leadoff,Slider,2,8.0
Inning_2_leadoff,Sweeper,2,8.0
Inning_3_leadoff,4-Seam Fastball,14,56.0
Inning_3_leadoff,Changeup,1,4.0
Inning_3_leadoff,Curveball,2,8.0
Inning_3_leadoff,Slider,4,16.0
Inning_3_leadoff,Sweeper,4,16.0
