bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,90.5
Batter_1,Sinker,2,9.5
Batter_2,4-Seam Fastball,12,57.1
Batter_2,Changeup,1,4.8
Batter_2,Curveball,1,4.8
Batter_2,Sinker,3,14.3
Batter_2,Slider,3,14.3
Batter_2,Sweeper,1,4.8
Batter_3,4-Seam Fastball,7,33.3
Batter_3,Curveball,5,23.8
Batter_3,Cutter,1,4.8
Batter_3,Sinker,3,14.3
Batter_3,Slider,4,19.0
Batter_3,Sweeper,1,4.8
Inning_2_leadoff,4-Seam Fastball,14,70.0
Inning_2_leadoff,Curveball,1,5.0
Inning_2_leadoff,Sinker,3,15.0
Inning_2_leadoff,Slider,1,5.0
Inning_2_leadoff,Sweeper,1,5.0
Inning_3_leadoff,4-Seam Fastball,10,47.6
Inning_3_leadoff,Changeup,1,4.8
Inning_3_leadoff,Curveball,3,14.3
Inning_3_leadoff,Sinker,2,9.5
Inning_3_leadoff,Slider,4,19.0
Inning_3_leadoff,Sweeper,1,4.8
