game_pk,game_date,bucket,pitch_name
824296,2026-04-05,Inning_3_leadoff,Sinker
824296,2026-04-05,Inning_2_leadoff,Sinker
824296,2026-04-05,Batter_3,Sinker
824296,2026-04-05,Batter_2,Sinker
824296,2026-04-05,Batter_1,4-Seam Fastball
824297,2026-04-10,Inning_3_leadoff,Sinker
824297,2026-04-10,Inning_2_leadoff,Sinker
824297,2026-04-10,Batter_3,Sinker
824297,2026-04-10,Batter_2,Changeup
824297,2026-04-10,Batter_1,4-Seam Fastball
824289,2026-04-16,Inning_3_leadoff,4-Seam Fastball
824289,2026-04-16,Inning_2_leadoff,Sinker
824289,2026-04-16,Batter_3,4-Seam Fastball
824289,2026-04-16,Batter_2,Sinker
824289,2026-04-16,Batter_1,4-Seam Fastball
824290,2026-04-21,Inning_3_leadoff,Knuckle Curve
824290,2026-04-21,Inning_2_leadoff,4-Seam Fastball
824290,2026-04-21,Batter_3,Knuckle Curve
824290,2026-04-21,Batter_2,Sinker
824290,2026-04-21,Batter_1,4-Seam Fastball
824528,2026-04-26,Inning_3_leadoff,Sinker
824528,2026-04-26,Inning_2_leadoff,Sinker
824528,2026-04-26,Batter_3,Knuckle Curve
824528,2026-04-26,Batter_2,4-Seam Fastball
824528,2026-04-26,Batter_1,4-Seam Fastball
824284,2026-05-02,Inning_3_leadoff,Sinker
824284,2026-05-02,Inning_2_leadoff,4-Seam Fastball
824284,2026-05-02,Batter_3,Sinker
824284,2026-05-02,Batter_2,4-Seam Fastball
824284,2026-05-02,Batter_1,4-Seam Fastball
824116,2026-05-08,Inning_3_leadoff,Sinker
824116,2026-05-08,Inning_2_leadoff,Slider
824116,2026-05-08,Batter_3,4-Seam Fastball
824116,2026-05-08,Batter_2,Sinker
824116,2026-05-08,Batter_1,4-Seam Fastball
823630,2026-05-14,Inning_3_leadoff,4-Seam Fastball
823630,2026-05-14,Inning_2_leadoff,4-Seam Fastball
823630,2026-05-14,Batter_3,4-Seam Fastball
823630,2026-05-14,Batter_2,4-Seam Fastball
823630,2026-05-14,Batter_1,4-Seam Fastball
824276,2026-05-19,Inning_3_leadoff,4-Seam Fastball
824276,2026-05-19,Inning_2_leadoff,Knuckle Curve
824276,2026-05-19,Batter_3,Knuckle Curve
824276,2026-05-19,Batter_2,Slider
824276,2026-05-19,Batter_1,4-Seam Fastball
824275,2026-05-26,Inning_3_leadoff,Sinker
824275,2026-05-26,Inning_2_leadoff,Sinker
824275,2026-05-26,Batter_3,Sinker
824275,2026-05-26,Batter_2,Slider
824275,2026-05-26,Batter_1,Slider
824592,2026-05-31,Inning_3_leadoff,4-Seam Fastball
824592,2026-05-31,Inning_2_leadoff,Knuckle Curve
824592,2026-05-31,Batter_3,Knuckle Curve
824592,2026-05-31,Batter_2,4-Seam Fastball
824592,2026-05-31,Batter_1,4-Seam Fastball
824269,2026-06-06,Inning_3_leadoff,Slider
824269,2026-06-06,Inning_2_leadoff,Knuckle Curve
824269,2026-06-06,Batter_3,4-Seam Fastball
824269,2026-06-06,Batter_2,Sinker
824269,2026-06-06,Batter_1,4-Seam Fastball
824265,2026-06-11,Inning_3_leadoff,Knuckle Curve
824265,2026-06-11,Inning_2_leadoff,Knuckle Curve
824265,2026-06-11,Batter_3,4-Seam Fastball
824265,2026-06-11,Batter_2,Sinker
824265,2026-06-11,Batter_1,4-Seam Fastball
824260,2026-06-21,Inning_3_leadoff,4-Seam Fastball
824260,2026-06-21,Inning_2_leadoff,Sinker
824260,2026-06-21,Batter_3,Slider
824260,2026-06-21,Batter_2,Sinker
824260,2026-06-21,Batter_1,4-Seam Fastball
