game_pk,game_date,bucket,pitch_name
778549,2025-03-28,Inning_3_leadoff,4-Seam Fastball
778549,2025-03-28,Inning_2_leadoff,4-Seam Fastball
778549,2025-03-28,Batter_3,Slider
778549,2025-03-28,Batter_2,4-Seam Fastball
778311,2025-04-15,Inning_3_leadoff,4-Seam Fastball
778311,2025-04-15,Inning_2_leadoff,Split-Finger
778311,2025-04-15,Batter_3,4-Seam Fastball
778311,2025-04-15,Batter_2,4-Seam Fastball
778064,2025-05-03,Inning_3_leadoff,4-Seam Fastball
778064,2025-05-03,Inning_2_leadoff,4-Seam Fastball
778064,2025-05-03,Batter_3,4-Seam Fastball
778064,2025-05-03,Batter_2,Slider
777913,2025-05-15,Inning_3_leadoff,Split-Finger
777913,2025-05-15,Inning_2_leadoff,Slider
777913,2025-05-15,Batter_3,4-Seam Fastball
777913,2025-05-15,Batter_2,4-Seam Fastball
777837,2025-05-21,Inning_3_leadoff,4-Seam Fastball
777837,2025-05-21,Inning_2_leadoff,4-Seam Fastball
777837,2025-05-21,Batter_3,4-Seam Fastball
777837,2025-05-21,Batter_2,4-Seam Fastball
777685,2025-06-01,Inning_3_leadoff,Slider
777685,2025-06-01,Inning_2_leadoff,4-Seam Fastball
777685,2025-06-01,Batter_3,4-Seam Fastball
777685,2025-06-01,Batter_2,4-Seam Fastball
777448,2025-06-19,Inning_3_leadoff,4-Seam Fastball
777448,2025-06-19,Inning_2_leadoff,Split-Finger
777448,2025-06-19,Batter_3,Slider
777448,2025-06-19,Batter_2,4-Seam Fastball
