bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,29,90.6
Batter_1,Changeup,1,3.1
Batter_1,Slider,1,3.1
Batter_1,Split-Finger,1,3.1
Batter_2,4-Seam Fastball,21,65.6
Batter_2,Slider,2,6.2
Batter_2,Split-Finger,9,28.1
Batter_3,4-Seam Fastball,18,56.2
Batter_3,Changeup,1,3.1
Batter_3,Slider,3,9.4
Batter_3,Split-Finger,10,31.2
Inning_2_leadoff,4-Seam Fastball,26,81.2
Inning_2_leadoff,Slider,5,15.6
Inning_2_leadoff,Split-Finger,1,3.1
Inning_3_leadoff,4-Seam Fastball,21,67.7
Inning_3_leadoff,Slider,2,6.5
Inning_3_leadoff,Split-Finger,7,22.6
Inning_3_leadoff,Sweeper,1,3.2
