game_pk,game_date,bucket,pitch_name
778504,2025-03-31,Inning_3_leadoff,FF
778504,2025-03-31,Inning_2_leadoff,FF
778504,2025-03-31,Batter_3,FF
778504,2025-03-31,Batter_2,FF
778422,2025-04-06,Inning_3_leadoff,SL
778422,2025-04-06,Inning_2_leadoff,FF
778422,2025-04-06,Batter_3,SL
778422,2025-04-06,Batter_2,FF
778375,2025-04-11,Inning_3_leadoff,SL
778375,2025-04-11,Inning_2_leadoff,SI
778375,2025-04-11,Batter_3,FF
778375,2025-04-11,Batter_2,FF
778300,2025-04-16,Inning_3_leadoff,ST
778300,2025-04-16,Inning_2_leadoff,FF
778300,2025-04-16,Batter_3,FF
778300,2025-04-16,Batter_2,FF
778215,2025-04-22,Inning_3_leadoff,SL
778215,2025-04-22,Inning_2_leadoff,ST
778215,2025-04-22,Batter_3,FF
778215,2025-04-22,Batter_2,FF
778152,2025-04-27,Inning_3_leadoff,FF
778152,2025-04-27,Inning_2_leadoff,FF
778152,2025-04-27,Batter_3,FF
778152,2025-04-27,Batter_2,FF
778072,2025-05-03,Inning_3_leadoff,ST
778072,2025-05-03,Inning_2_leadoff,FF
778072,2025-05-03,Batter_3,SL
778072,2025-05-03,Batter_2,FF
778008,2025-05-08,Inning_3_leadoff,FF
778008,2025-05-08,Inning_2_leadoff,SL
778008,2025-05-08,Batter_3,FF
778008,2025-05-08,Batter_2,FF
777931,2025-05-13,Inning_3_leadoff,FF
777931,2025-05-13,Inning_2_leadoff,SL
777931,2025-05-13,Batter_3,FF
777931,2025-05-13,Batter_2,SL
777855,2025-05-19,Inning_3_leadoff,ST
777855,2025-05-19,Inning_2_leadoff,FF
777855,2025-05-19,Batter_3,SI
777855,2025-05-19,Batter_2,FF
777772,2025-05-25,Inning_3_leadoff,SL
777772,2025-05-25,Inning_2_leadoff,SI
777772,2025-05-25,Batter_3,FF
777772,2025-05-25,Batter_2,ST
777677,2025-06-01,Inning_3_leadoff,FF
777677,2025-06-01,Inning_2_leadoff,FF
777677,2025-06-01,Batter_3,SL
777677,2025-06-01,Batter_2,FF
777551,2025-06-11,Inning_3_leadoff,SL
777551,2025-06-11,Inning_2_leadoff,FF
777551,2025-06-11,Batter_3,FF
777551,2025-06-11,Batter_2,FF
777460,2025-06-18,Inning_3_leadoff,ST
777460,2025-06-18,Inning_2_leadoff,ST
777460,2025-06-18,Batter_3,SL
777460,2025-06-18,Batter_2,FF
777378,2025-06-24,Inning_3_leadoff,SL
777378,2025-06-24,Inning_2_leadoff,FF
777304,2025-06-29,Inning_3_leadoff,FF
777304,2025-06-29,Inning_2_leadoff,FF
777304,2025-06-29,Batter_3,ST
777304,2025-06-29,Batter_2,FF
