bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,18,90.0
Batter_1,Sinker,2,10.0
Batter_2,4-Seam Fastball,16,80.0
Batter_2,Sinker,1,5.0
Batter_2,Slider,1,5.0
Batter_2,Sweeper,2,10.0
Batter_3,4-Seam Fastball,10,50.0
Batter_3,Sinker,1,5.0
Batter_3,Slider,5,25.0
Batter_3,Sweeper,4,20.0
Inning_2_leadoff,4-Seam Fastball,12,60.0
Inning_2_leadoff,Sinker,3,15.0
Inning_2_leadoff,Slider,2,10.0
Inning_2_leadoff,Sweeper,3,15.0
Inning_3_leadoff,4-Seam Fastball,9,45.0
Inning_3_leadoff,Slider,6,30.0
Inning_3_leadoff,Sweeper,5,25.0
