bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,4,21.1
Batter_1,Cutter,3,15.8
Batter_1,Sinker,11,57.9
Batter_1,Slider,1,5.3
Batter_2,4-Seam Fastball,2,10.5
Batter_2,Cutter,4,21.1
Batter_2,Sinker,6,31.6
Batter_2,Slider,7,36.8
Batter_3,4-Seam Fastball,2,10.5
Batter_3,Cutter,1,5.3
Batter_3,Sinker,7,36.8
Batter_3,Slider,9,47.4
Inning_2_leadoff,4-Seam Fastball,2,10.5
Inning_2_leadoff,Cutter,2,10.5
Inning_2_leadoff,Sinker,12,63.2
Inning_2_leadoff,Slider,3,15.8
Inning_3_leadoff,4-Seam Fastball,3,16.7
Inning_3_leadoff,Changeup,2,11.1
Inning_3_leadoff,Cutter,5,27.8
Inning_3_leadoff,Sinker,6,33.3
Inning_3_leadoff,Slider,2,11.1
