game_pk,game_date,bucket,pitch_name
778394,2025-04-08,Inning_3_leadoff,Sinker
778394,2025-04-08,Inning_2_leadoff,Cutter
778394,2025-04-08,Batter_3,Sinker
778394,2025-04-08,Batter_2,Cutter
778235,2025-04-20,Inning_2_leadoff,Cutter
778235,2025-04-20,Batter_3,Cutter
778235,2025-04-20,Batter_2,Sinker
778181,2025-04-25,Inning_3_leadoff,Sinker
778181,2025-04-25,Inning_2_leadoff,4-Seam Fastball
778181,2025-04-25,Batter_3,Cutter
778181,2025-04-25,Batter_2,4-Seam Fastball
778004,2025-05-08,Inning_3_leadoff,4-Seam Fastball
778004,2025-05-08,Inning_2_leadoff,Changeup
778004,2025-05-08,Batter_3,4-Seam Fastball
778004,2025-05-08,Batter_2,Sinker
777852,2025-05-19,Inning_3_leadoff,Knuckle Curve
777852,2025-05-19,Inning_2_leadoff,Cutter
777852,2025-05-19,Batter_3,4-Seam Fastball
777852,2025-05-19,Batter_2,Knuckle Curve
777782,2025-05-24,Inning_3_leadoff,4-Seam Fastball
777782,2025-05-24,Inning_2_leadoff,4-Seam Fastball
777782,2025-05-24,Batter_3,4-Seam Fastball
777782,2025-05-24,Batter_2,4-Seam Fastball
777547,2025-06-11,Inning_3_leadoff,4-Seam Fastball
777547,2025-06-11,Inning_2_leadoff,Cutter
777547,2025-06-11,Batter_3,Knuckle Curve
777547,2025-06-11,Batter_2,4-Seam Fastball
