bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,23,76.7
Batter_1,Cutter,1,3.3
Batter_1,Sinker,6,20.0
Batter_2,4-Seam Fastball,16,53.3
Batter_2,Changeup,1,3.3
Batter_2,Cutter,3,10.0
Batter_2,Knuckle Curve,5,16.7
Batter_2,Sinker,4,13.3
Batter_2,Sweeper,1,3.3
Batter_3,4-Seam Fastball,13,44.8
Batter_3,Changeup,1,3.4
Batter_3,Cutter,9,31.0
Batter_3,Knuckle Curve,2,6.9
Batter_3,Sinker,2,6.9
Batter_3,Sweeper,2,6.9
Inning_2_leadoff,4-Seam Fastball,17,58.6
Inning_2_leadoff,Changeup,1,3.4
Inning_2_leadoff,Cutter,8,27.6
Inning_2_leadoff,Knuckle Curve,2,6.9
Inning_2_leadoff,Sinker,1,3.4
Inning_3_leadoff,4-Seam Fastball,19,67.9
Inning_3_leadoff,Cutter,3,10.7
Inning_3_leadoff,Knuckle Curve,2,7.1
Inning_3_leadoff,Sinker,3,10.7
Inning_3_leadoff,Sweeper,1,3.6
