game_pk,game_date,bucket,pitch_name
823809,2026-03-30,Inning_3_leadoff,4-Seam Fastball
823809,2026-03-30,Inning_2_leadoff,Sinker
823809,2026-03-30,Batter_3,4-Seam Fastball
823809,2026-03-30,Batter_2,4-Seam Fastball
823809,2026-03-30,Batter_1,4-Seam Fastball
824131,2026-04-05,Inning_3_leadoff,4-Seam Fastball
824131,2026-04-05,Inning_2_leadoff,4-Seam Fastball
824131,2026-04-05,Batter_3,4-Seam Fastball
824131,2026-04-05,Batter_2,4-Seam Fastball
824131,2026-04-05,Batter_1,Changeup
823805,2026-04-11,Inning_3_leadoff,4-Seam Fastball
823805,2026-04-11,Inning_2_leadoff,Changeup
823805,2026-04-11,Batter_3,Changeup
823805,2026-04-11,Batter_2,4-Seam Fastball
823805,2026-04-11,Batter_1,4-Seam Fastball
824290,2026-04-21,Inning_3_leadoff,4-Seam Fastball
824290,2026-04-21,Inning_2_leadoff,4-Seam Fastball
824290,2026-04-21,Batter_3,4-Seam Fastball
824290,2026-04-21,Batter_2,4-Seam Fastball
824290,2026-04-21,Batter_1,4-Seam Fastball
823797,2026-04-26,Inning_3_leadoff,4-Seam Fastball
823797,2026-04-26,Inning_2_leadoff,4-Seam Fastball
823797,2026-04-26,Batter_3,4-Seam Fastball
823797,2026-04-26,Batter_2,Changeup
823797,2026-04-26,Batter_1,4-Seam Fastball
822746,2026-05-02,Inning_3_leadoff,4-Seam Fastball
822746,2026-05-02,Inning_2_leadoff,4-Seam Fastball
822746,2026-05-02,Batter_3,4-Seam Fastball
822746,2026-05-02,Batter_2,4-Seam Fastball
822746,2026-05-02,Batter_1,4-Seam Fastball
823792,2026-05-09,Inning_3_leadoff,Slurve
823792,2026-05-09,Inning_2_leadoff,4-Seam Fastball
823792,2026-05-09,Batter_3,4-Seam Fastball
823792,2026-05-09,Batter_2,4-Seam Fastball
823792,2026-05-09,Batter_1,4-Seam Fastball
823789,2026-05-14,Inning_3_leadoff,4-Seam Fastball
823789,2026-05-14,Inning_2_leadoff,4-Seam Fastball
823789,2026-05-14,Batter_3,4-Seam Fastball
823789,2026-05-14,Batter_2,4-Seam Fastball
823789,2026-05-14,Batter_1,4-Seam Fastball
824678,2026-05-20,Inning_3_leadoff,4-Seam Fastball
824678,2026-05-20,Inning_2_leadoff,4-Seam Fastball
824678,2026-05-20,Batter_3,4-Seam Fastball
824678,2026-05-20,Batter_2,4-Seam Fastball
824678,2026-05-20,Batter_1,4-Seam Fastball
823785,2026-05-26,Inning_3_leadoff,4-Seam Fastball
823785,2026-05-26,Inning_2_leadoff,Slurve
823785,2026-05-26,Batter_3,4-Seam Fastball
823785,2026-05-26,Batter_2,4-Seam Fastball
823785,2026-05-26,Batter_1,4-Seam Fastball
823782,2026-06-02,Inning_3_leadoff,4-Seam Fastball
823782,2026-06-02,Inning_2_leadoff,4-Seam Fastball
823782,2026-06-02,Batter_3,4-Seam Fastball
823782,2026-06-02,Batter_2,4-Seam Fastball
823782,2026-06-02,Batter_1,4-Seam Fastball
824998,2026-06-08,Inning_3_leadoff,4-Seam Fastball
824998,2026-06-08,Inning_2_leadoff,4-Seam Fastball
824998,2026-06-08,Batter_3,4-Seam Fastball
824998,2026-06-08,Batter_2,Slurve
824998,2026-06-08,Batter_1,4-Seam Fastball
823777,2026-06-14,Inning_3_leadoff,4-Seam Fastball
823777,2026-06-14,Inning_2_leadoff,4-Seam Fastball
823777,2026-06-14,Batter_3,Slurve
823777,2026-06-14,Batter_2,Slurve
823777,2026-06-14,Batter_1,4-Seam Fastball
824909,2026-06-20,Inning_3_leadoff,4-Seam Fastball
824909,2026-06-20,Inning_2_leadoff,4-Seam Fastball
824909,2026-06-20,Batter_3,4-Seam Fastball
824909,2026-06-20,Batter_2,4-Seam Fastball
824909,2026-06-20,Batter_1,4-Seam Fastball
823770,2026-06-27,Inning_3_leadoff,4-Seam Fastball
823770,2026-06-27,Inning_2_leadoff,Slurve
823770,2026-06-27,Batter_3,Changeup
823770,2026-06-27,Batter_2,4-Seam Fastball
823770,2026-06-27,Batter_1,4-Seam Fastball
825062,2026-07-03,Inning_3_leadoff,Slurve
825062,2026-07-03,Inning_2_leadoff,4-Seam Fastball
825062,2026-07-03,Batter_3,4-Seam Fastball
825062,2026-07-03,Batter_2,4-Seam Fastball
825062,2026-07-03,Batter_1,4-Seam Fastball
