game_pk,game_date,bucket,pitch_name
778495,2025-04-01,Inning_3_leadoff,Curveball
778495,2025-04-01,Inning_2_leadoff,4-Seam Fastball
778495,2025-04-01,Batter_3,Curveball
778495,2025-04-01,Batter_2,Sinker
778417,2025-04-08,Inning_3_leadoff,4-Seam Fastball
778417,2025-04-08,Inning_2_leadoff,Curveball
778417,2025-04-08,Batter_3,Sinker
778417,2025-04-08,Batter_2,Curveball
778329,2025-04-13,Inning_3_leadoff,Curveball
778329,2025-04-13,Inning_2_leadoff,Curveball
778329,2025-04-13,Batter_3,Curveball
778329,2025-04-13,Batter_2,Sinker
778243,2025-04-19,Inning_3_leadoff,Curveball
778243,2025-04-19,Inning_2_leadoff,4-Seam Fastball
778243,2025-04-19,Batter_3,Curveball
778243,2025-04-19,Batter_2,Sinker
778186,2025-04-25,Inning_3_leadoff,Curveball
778186,2025-04-25,Inning_2_leadoff,Curveball
778186,2025-04-25,Batter_3,Sinker
778186,2025-04-25,Batter_2,Sinker
778067,2025-05-03,Inning_3_leadoff,Curveball
778067,2025-05-03,Inning_2_leadoff,Curveball
778067,2025-05-03,Batter_3,Sinker
778067,2025-05-03,Batter_2,4-Seam Fastball
777986,2025-05-09,Inning_3_leadoff,4-Seam Fastball
777986,2025-05-09,Inning_2_leadoff,Curveball
777986,2025-05-09,Batter_3,Curveball
777986,2025-05-09,Batter_2,4-Seam Fastball
777914,2025-05-14,Inning_3_leadoff,Curveball
777914,2025-05-14,Inning_2_leadoff,4-Seam Fastball
777914,2025-05-14,Batter_3,Sinker
777914,2025-05-14,Batter_2,Sinker
777843,2025-05-20,Inning_3_leadoff,Curveball
777843,2025-05-20,Inning_2_leadoff,Sinker
777843,2025-05-20,Batter_3,Curveball
777843,2025-05-20,Batter_2,Sinker
777767,2025-05-25,Inning_3_leadoff,Curveball
777767,2025-05-25,Inning_2_leadoff,Curveball
777767,2025-05-25,Batter_3,4-Seam Fastball
777767,2025-05-25,Batter_2,4-Seam Fastball
777703,2025-05-31,Inning_3_leadoff,4-Seam Fastball
777703,2025-05-31,Inning_2_leadoff,4-Seam Fastball
777703,2025-05-31,Batter_3,Curveball
777703,2025-05-31,Batter_2,4-Seam Fastball
777614,2025-06-06,Inning_3_leadoff,4-Seam Fastball
777614,2025-06-06,Inning_2_leadoff,Sinker
777614,2025-06-06,Batter_3,Sinker
777614,2025-06-06,Batter_2,4-Seam Fastball
777542,2025-06-11,Inning_3_leadoff,Changeup
777542,2025-06-11,Inning_2_leadoff,Curveball
777542,2025-06-11,Batter_3,Sinker
777542,2025-06-11,Batter_2,Curveball
777476,2025-06-17,Inning_3_leadoff,Sinker
777476,2025-06-17,Inning_2_leadoff,Curveball
777476,2025-06-17,Batter_3,4-Seam Fastball
777476,2025-06-17,Batter_2,Sinker
777397,2025-06-22,Inning_3_leadoff,Changeup
777397,2025-06-22,Inning_2_leadoff,4-Seam Fastball
777397,2025-06-22,Batter_3,Sinker
777397,2025-06-22,Batter_2,Sinker
777315,2025-06-28,Inning_3_leadoff,Curveball
777315,2025-06-28,Inning_2_leadoff,Sinker
777315,2025-06-28,Batter_3,Sinker
777315,2025-06-28,Batter_2,4-Seam Fastball
777242,2025-07-04,Inning_3_leadoff,4-Seam Fastball
777242,2025-07-04,Inning_2_leadoff,Sinker
777242,2025-07-04,Batter_3,Sinker
777242,2025-07-04,Batter_2,Sinker
777171,2025-07-09,Inning_3_leadoff,Sinker
777171,2025-07-09,Inning_2_leadoff,Sinker
777171,2025-07-09,Batter_3,Sinker
777171,2025-07-09,Batter_2,Sinker
