game_pk,game_date,bucket,pitch_name
823080,2026-03-30,Inning_3_leadoff,4-Seam Fastball
823080,2026-03-30,Inning_2_leadoff,4-Seam Fastball
823080,2026-03-30,Batter_3,Sweeper
823080,2026-03-30,Batter_2,Curveball
823080,2026-03-30,Batter_1,4-Seam Fastball
824296,2026-04-05,Inning_3_leadoff,Curveball
824296,2026-04-05,Inning_2_leadoff,Slider
824296,2026-04-05,Batter_3,Slider
824296,2026-04-05,Batter_2,Sweeper
824296,2026-04-05,Batter_1,4-Seam Fastball
823074,2026-04-11,Inning_3_leadoff,Curveball
823074,2026-04-11,Inning_2_leadoff,Sinker
823074,2026-04-11,Batter_3,Sweeper
823074,2026-04-11,Batter_2,Slider
823074,2026-04-11,Batter_1,4-Seam Fastball
824207,2026-04-17,Inning_3_leadoff,4-Seam Fastball
824207,2026-04-17,Inning_2_leadoff,Curveball
824207,2026-04-17,Batter_3,Slider
824207,2026-04-17,Batter_2,4-Seam Fastball
824207,2026-04-17,Batter_1,4-Seam Fastball
823878,2026-04-22,Inning_3_leadoff,Slider
823878,2026-04-22,Inning_2_leadoff,Curveball
823878,2026-04-22,Batter_3,Slider
823878,2026-04-22,Batter_2,4-Seam Fastball
823878,2026-04-22,Batter_1,4-Seam Fastball
823390,2026-04-28,Inning_3_leadoff,4-Seam Fastball
823390,2026-04-28,Inning_2_leadoff,Slider
823390,2026-04-28,Batter_3,4-Seam Fastball
823390,2026-04-28,Batter_2,Sinker
823390,2026-04-28,Batter_1,4-Seam Fastball
823064,2026-05-04,Inning_3_leadoff,4-Seam Fastball
823064,2026-05-04,Inning_2_leadoff,4-Seam Fastball
823064,2026-05-04,Batter_3,Curveball
823064,2026-05-04,Batter_2,4-Seam Fastball
823064,2026-05-04,Batter_1,4-Seam Fastball
823305,2026-05-10,Inning_3_leadoff,4-Seam Fastball
823305,2026-05-10,Inning_2_leadoff,Slider
823305,2026-05-10,Batter_3,4-Seam Fastball
823305,2026-05-10,Batter_2,Slider
823305,2026-05-10,Batter_1,4-Seam Fastball
823060,2026-05-16,Inning_3_leadoff,Curveball
823060,2026-05-16,Inning_2_leadoff,4-Seam Fastball
823060,2026-05-16,Batter_3,4-Seam Fastball
823060,2026-05-16,Batter_2,4-Seam Fastball
823060,2026-05-16,Batter_1,4-Seam Fastball
824516,2026-05-23,Inning_3_leadoff,4-Seam Fastball
824516,2026-05-23,Inning_2_leadoff,4-Seam Fastball
824516,2026-05-23,Batter_3,Curveball
824516,2026-05-23,Batter_2,4-Seam Fastball
824516,2026-05-23,Batter_1,4-Seam Fastball
823054,2026-05-30,Inning_3_leadoff,Slider
823054,2026-05-30,Inning_2_leadoff,4-Seam Fastball
823054,2026-05-30,Batter_3,4-Seam Fastball
823054,2026-05-30,Batter_2,Slider
823054,2026-05-30,Batter_1,4-Seam Fastball
823049,2026-06-05,Inning_3_leadoff,Slider
823049,2026-06-05,Inning_2_leadoff,Slider
823049,2026-06-05,Batter_3,4-Seam Fastball
823049,2026-06-05,Batter_2,Curveball
823049,2026-06-05,Batter_1,4-Seam Fastball
823695,2026-06-12,Inning_3_leadoff,Slider
823695,2026-06-12,Inning_2_leadoff,Sinker
823695,2026-06-12,Batter_3,4-Seam Fastball
823695,2026-06-12,Batter_2,Slider
823695,2026-06-12,Batter_1,4-Seam Fastball
823044,2026-06-17,Inning_3_leadoff,Slider
823044,2026-06-17,Inning_2_leadoff,4-Seam Fastball
823044,2026-06-17,Batter_3,Sweeper
823044,2026-06-17,Batter_2,4-Seam Fastball
823044,2026-06-17,Batter_1,4-Seam Fastball
823043,2026-06-23,Inning_3_leadoff,Slider
823043,2026-06-23,Inning_2_leadoff,Curveball
823043,2026-06-23,Batter_3,4-Seam Fastball
823043,2026-06-23,Batter_2,Curveball
823043,2026-06-23,Batter_1,4-Seam Fastball
823037,2026-06-28,Inning_3_leadoff,Curveball
823037,2026-06-28,Inning_2_leadoff,Curveball
823037,2026-06-28,Batter_3,Sweeper
823037,2026-06-28,Batter_2,4-Seam Fastball
823037,2026-06-28,Batter_1,4-Seam Fastball
824658,2026-07-04,Inning_3_leadoff,Slider
824658,2026-07-04,Inning_2_leadoff,4-Seam Fastball
824658,2026-07-04,Batter_3,4-Seam Fastball
824658,2026-07-04,Batter_2,4-Seam Fastball
824658,2026-07-04,Batter_1,4-Seam Fastball
823033,2026-07-10,Inning_3_leadoff,4-Seam Fastball
823033,2026-07-10,Inning_2_leadoff,4-Seam Fastball
823033,2026-07-10,Batter_3,Sweeper
823033,2026-07-10,Batter_2,4-Seam Fastball
823033,2026-07-10,Batter_1,4-Seam Fastball
