bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,22,100.0
Batter_2,4-Seam Fastball,10,45.5
Batter_2,Curveball,3,13.6
Batter_2,Sinker,2,9.1
Batter_2,Slider,6,27.3
Batter_2,Sweeper,1,4.5
Batter_3,4-Seam Fastball,9,40.9
Batter_3,Curveball,2,9.1
Batter_3,Slider,4,18.2
Batter_3,Sweeper,7,31.8
Inning_2_leadoff,4-Seam Fastball,9,40.9
Inning_2_leadoff,Curveball,4,18.2
Inning_2_leadoff,Sinker,2,9.1
Inning_2_leadoff,Slider,5,22.7
Inning_2_leadoff,Sweeper,2,9.1
Inning_3_leadoff,4-Seam Fastball,11,50.0
Inning_3_leadoff,Curveball,4,18.2
Inning_3_leadoff,Slider,7,31.8
