bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,5,45.5
Batter_1,Cutter,3,27.3
Batter_1,Slider,3,27.3
Batter_2,4-Seam Fastball,3,27.3
Batter_2,Cutter,1,9.1
Batter_2,Sinker,5,45.5
Batter_2,Slider,2,18.2
Batter_3,4-Seam Fastball,1,9.1
Batter_3,Changeup,1,9.1
Batter_3,Cutter,1,9.1
Batter_3,Knuckle Curve,4,36.4
Batter_3,Sinker,3,27.3
Batter_3,Slider,1,9.1
Inning_2_leadoff,Sinker,7,70.0
Inning_2_leadoff,Slider,3,30.0
Inning_3_leadoff,Cutter,1,10.0
Inning_3_leadoff,Knuckle Curve,2,20.0
Inning_3_leadoff,Sinker,7,70.0
