bucket,pitch_name,count,pct
Batter_1,Curveball,1,3.4
Batter_1,Cutter,2,6.9
Batter_1,Sinker,26,89.7
Batter_2,Curveball,7,24.1
Batter_2,Cutter,3,10.3
Batter_2,Sinker,19,65.5
Batter_3,Changeup,3,10.3
Batter_3,Curveball,6,20.7
Batter_3,Cutter,3,10.3
Batter_3,Sinker,17,58.6
Inning_2_leadoff,4-Seam Fastball,2,6.9
Inning_2_leadoff,Curveball,9,31.0
Inning_2_leadoff,Cutter,4,13.8
Inning_2_leadoff,Sinker,14,48.3
Inning_3_leadoff,Changeup,1,3.4
Inning_3_leadoff,Curveball,5,17.2
Inning_3_leadoff,Cutter,8,27.6
Inning_3_leadoff,Sinker,15,51.7
