game_pk,game_date,bucket,pitch_name
778485,2025-04-01,Inning_3_leadoff,4-Seam Fastball
778485,2025-04-01,Inning_2_leadoff,4-Seam Fastball
778485,2025-04-01,Batter_3,Sweeper
778485,2025-04-01,Batter_2,Cutter
778485,2025-04-01,Batter_1,4-Seam Fastball
778391,2025-04-09,Inning_3_leadoff,Sweeper
778391,2025-04-09,Inning_2_leadoff,Sweeper
778391,2025-04-09,Batter_3,4-Seam Fastball
778391,2025-04-09,Batter_2,4-Seam Fastball
778391,2025-04-09,Batter_1,4-Seam Fastball
778317,2025-04-15,Inning_3_leadoff,Sweeper
778317,2025-04-15,Inning_2_leadoff,Sinker
778317,2025-04-15,Batter_3,4-Seam Fastball
778317,2025-04-15,Batter_2,4-Seam Fastball
778317,2025-04-15,Batter_1,4-Seam Fastball
778242,2025-04-20,Inning_3_leadoff,Sinker
778242,2025-04-20,Inning_2_leadoff,Cutter
778242,2025-04-20,Batter_3,4-Seam Fastball
778242,2025-04-20,Batter_2,4-Seam Fastball
778242,2025-04-20,Batter_1,Sinker
778157,2025-04-27,Inning_3_leadoff,Cutter
778157,2025-04-27,Inning_2_leadoff,Cutter
778157,2025-04-27,Batter_3,Cutter
778157,2025-04-27,Batter_2,Sinker
778157,2025-04-27,Batter_1,Sinker
778081,2025-05-02,Inning_3_leadoff,4-Seam Fastball
778081,2025-05-02,Inning_2_leadoff,Sweeper
778081,2025-05-02,Batter_3,4-Seam Fastball
778081,2025-05-02,Batter_2,Cutter
778081,2025-05-02,Batter_1,Sinker
778022,2025-05-07,Inning_3_leadoff,Changeup
778022,2025-05-07,Inning_2_leadoff,4-Seam Fastball
778022,2025-05-07,Batter_3,Sinker
778022,2025-05-07,Batter_2,Sinker
778022,2025-05-07,Batter_1,4-Seam Fastball
777944,2025-05-13,Inning_3_leadoff,Cutter
777944,2025-05-13,Inning_2_leadoff,4-Seam Fastball
777944,2025-05-13,Batter_3,4-Seam Fastball
777944,2025-05-13,Batter_2,Sweeper
777944,2025-05-13,Batter_1,Sinker
777861,2025-05-19,Inning_3_leadoff,Sinker
777861,2025-05-19,Inning_2_leadoff,Sinker
777861,2025-05-19,Batter_3,Sweeper
777861,2025-05-19,Batter_2,Cutter
777861,2025-05-19,Batter_1,Sinker
777780,2025-05-25,Inning_3_leadoff,Sweeper
777780,2025-05-25,Inning_2_leadoff,Cutter
777780,2025-05-25,Batter_3,Sinker
777780,2025-05-25,Batter_2,Sinker
777780,2025-05-25,Batter_1,4-Seam Fastball
777622,2025-06-06,Inning_3_leadoff,Sinker
777622,2025-06-06,Inning_2_leadoff,Sweeper
777622,2025-06-06,Batter_3,Sinker
777622,2025-06-06,Batter_2,Sinker
777622,2025-06-06,Batter_1,Sinker
777549,2025-06-11,Inning_3_leadoff,4-Seam Fastball
777549,2025-06-11,Inning_2_leadoff,Sweeper
777549,2025-06-11,Batter_3,Cutter
777549,2025-06-11,Batter_2,Sinker
777549,2025-06-11,Batter_1,Sinker
777454,2025-06-18,Inning_3_leadoff,4-Seam Fastball
777454,2025-06-18,Inning_2_leadoff,Cutter
777454,2025-06-18,Batter_3,4-Seam Fastball
777454,2025-06-18,Batter_2,4-Seam Fastball
777454,2025-06-18,Batter_1,Sinker
777384,2025-06-24,Inning_3_leadoff,Sinker
777384,2025-06-24,Inning_2_leadoff,Sweeper
777384,2025-06-24,Batter_3,Cutter
777384,2025-06-24,Batter_2,4-Seam Fastball
777384,2025-06-24,Batter_1,Sinker
777309,2025-06-29,Inning_3_leadoff,Sinker
777309,2025-06-29,Inning_2_leadoff,Sinker
777309,2025-06-29,Batter_3,Sweeper
777309,2025-06-29,Batter_2,Sweeper
777309,2025-06-29,Batter_1,Sinker
777240,2025-07-05,Inning_3_leadoff,Changeup
777240,2025-07-05,Inning_2_leadoff,4-Seam Fastball
777240,2025-07-05,Batter_3,4-Seam Fastball
777240,2025-07-05,Batter_2,Cutter
777240,2025-07-05,Batter_1,4-Seam Fastball
