bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,100.0
Batter_2,4-Seam Fastball,5,41.7
Batter_2,Changeup,1,8.3
Batter_2,Cutter,1,8.3
Batter_2,Slider,5,41.7
Batter_3,4-Seam Fastball,8,66.7
Batter_3,Curveball,1,8.3
Batter_3,Cutter,1,8.3
Batter_3,Slider,2,16.7
Inning_2_leadoff,4-Seam Fastball,6,50.0
Inning_2_leadoff,Curveball,2,16.7
Inning_2_leadoff,Cutter,1,8.3
Inning_2_leadoff,Slider,2,16.7
Inning_2_leadoff,Split-Finger,1,8.3
Inning_3_leadoff,4-Seam Fastball,8,66.7
Inning_3_leadoff,Cutter,1,8.3
Inning_3_leadoff,Slider,2,16.7
Inning_3_leadoff,Split-Finger,1,8.3
