bucket,pitch_name,count,pct
Batter_1,Cutter,5,20.0
Batter_1,Sinker,20,80.0
Batter_2,4-Seam Fastball,2,8.0
Batter_2,Changeup,4,16.0
Batter_2,Cutter,1,4.0
Batter_2,Sinker,13,52.0
Batter_2,Sweeper,5,20.0
Batter_3,4-Seam Fastball,1,4.0
Batter_3,Changeup,1,4.0
Batter_3,Cutter,3,12.0
Batter_3,Sinker,15,60.0
Batter_3,Sweeper,5,20.0
Inning_2_leadoff,Changeup,2,8.0
Inning_2_leadoff,Cutter,3,12.0
Inning_2_leadoff,Sinker,12,48.0
Inning_2_leadoff,Sweeper,8,32.0
Inning_3_leadoff,Changeup,3,12.0
Inning_3_leadoff,Cutter,4,16.0
Inning_3_leadoff,Sinker,11,44.0
Inning_3_leadoff,Sweeper,7,28.0
