game_pk,game_date,bucket,pitch_name
824132,2026-04-04,Inning_3_leadoff,Curveball
824132,2026-04-04,Inning_2_leadoff,4-Seam Fastball
824132,2026-04-04,Batter_3,Sinker
824132,2026-04-04,Batter_2,Sinker
824132,2026-04-04,Batter_1,4-Seam Fastball
824455,2026-04-08,Inning_3_leadoff,Changeup
824455,2026-04-08,Inning_2_leadoff,4-Seam Fastball
824455,2026-04-08,Batter_2,Curveball
824455,2026-04-08,Batter_1,Sinker
824510,2026-06-01,Inning_3_leadoff,Sinker
824510,2026-06-01,Inning_2_leadoff,4-Seam Fastball
824510,2026-06-01,Batter_3,4-Seam Fastball
824510,2026-06-01,Batter_2,4-Seam Fastball
824510,2026-06-01,Batter_1,4-Seam Fastball
823697,2026-06-06,Inning_3_leadoff,Changeup
823697,2026-06-06,Inning_2_leadoff,Changeup
823697,2026-06-06,Batter_3,Curveball
823697,2026-06-06,Batter_2,Changeup
823697,2026-06-06,Batter_1,4-Seam Fastball
824102,2026-06-12,Batter_3,4-Seam Fastball
824102,2026-06-12,Batter_2,Sinker
824102,2026-06-12,Batter_1,4-Seam Fastball
822721,2026-06-17,Inning_3_leadoff,Curveball
822721,2026-06-17,Inning_2_leadoff,Curveball
822721,2026-06-17,Batter_3,4-Seam Fastball
822721,2026-06-17,Batter_2,Curveball
822721,2026-06-17,Batter_1,Sinker
822963,2026-06-23,Inning_3_leadoff,Curveball
822963,2026-06-23,Inning_2_leadoff,4-Seam Fastball
822963,2026-06-23,Batter_3,4-Seam Fastball
822963,2026-06-23,Batter_2,4-Seam Fastball
822963,2026-06-23,Batter_1,4-Seam Fastball
824580,2026-06-28,Inning_3_leadoff,4-Seam Fastball
824580,2026-06-28,Inning_2_leadoff,4-Seam Fastball
824580,2026-06-28,Batter_3,4-Seam Fastball
824580,2026-06-28,Batter_2,Curveball
824580,2026-06-28,Batter_1,4-Seam Fastball
