bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,6,75.0
Batter_1,Sinker,2,25.0
Batter_2,4-Seam Fastball,2,25.0
Batter_2,Changeup,1,12.5
Batter_2,Curveball,3,37.5
Batter_2,Sinker,2,25.0
Batter_3,4-Seam Fastball,5,71.4
Batter_3,Curveball,1,14.3
Batter_3,Sinker,1,14.3
Inning_2_leadoff,4-Seam Fastball,5,71.4
Inning_2_leadoff,Changeup,1,14.3
Inning_2_leadoff,Curveball,1,14.3
Inning_3_leadoff,4-Seam Fastball,1,14.3
Inning_3_leadoff,Changeup,2,28.6
Inning_3_leadoff,Curveball,3,42.9
Inning_3_leadoff,Sinker,1,14.3
