game_pk,game_date,bucket,pitch_name
822997,2026-04-10,Inning_3_leadoff,4-Seam Fastball
822997,2026-04-10,Inning_2_leadoff,4-Seam Fastball
822997,2026-04-10,Batter_3,4-Seam Fastball
822997,2026-04-10,Batter_2,4-Seam Fastball
822997,2026-04-10,Batter_1,4-Seam Fastball
823561,2026-04-15,Inning_3_leadoff,4-Seam Fastball
823561,2026-04-15,Inning_2_leadoff,4-Seam Fastball
823561,2026-04-15,Batter_3,4-Seam Fastball
823561,2026-04-15,Batter_2,4-Seam Fastball
823561,2026-04-15,Batter_1,4-Seam Fastball
824773,2026-04-21,Inning_3_leadoff,Sinker
824773,2026-04-21,Inning_2_leadoff,4-Seam Fastball
824773,2026-04-21,Batter_3,Slider
824773,2026-04-21,Batter_2,4-Seam Fastball
824773,2026-04-21,Batter_1,4-Seam Fastball
824202,2026-04-26,Inning_3_leadoff,4-Seam Fastball
824202,2026-04-26,Inning_2_leadoff,4-Seam Fastball
824202,2026-04-26,Batter_3,Sinker
824202,2026-04-26,Batter_2,4-Seam Fastball
824202,2026-04-26,Batter_1,4-Seam Fastball
