bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,96.0
Batter_1,Sinker,1,4.0
Batter_2,4-Seam Fastball,12,48.0
Batter_2,Cutter,3,12.0
Batter_2,Sinker,7,28.0
Batter_2,Slider,2,8.0
Batter_2,Sweeper,1,4.0
Batter_3,4-Seam Fastball,8,32.0
Batter_3,Cutter,7,28.0
Batter_3,Sinker,4,16.0
Batter_3,Sweeper,6,24.0
Inning_2_leadoff,4-Seam Fastball,12,48.0
Inning_2_leadoff,Cutter,3,12.0
Inning_2_leadoff,Sinker,5,20.0
Inning_2_leadoff,Slider,1,4.0
Inning_2_leadoff,Sweeper,4,16.0
Inning_3_leadoff,4-Seam Fastball,10,40.0
Inning_3_leadoff,Cutter,3,12.0
Inning_3_leadoff,Sinker,5,20.0
Inning_3_leadoff,Slider,2,8.0
Inning_3_leadoff,Sweeper,5,20.0
