bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,25,80.6
Batter_1,Changeup,2,6.5
Batter_1,Curveball,3,9.7
Batter_1,Cutter,1,3.2
Batter_2,4-Seam Fastball,16,51.6
Batter_2,Changeup,1,3.2
Batter_2,Curveball,10,32.3
Batter_2,Cutter,1,3.2
Batter_2,Slider,3,9.7
Batter_3,4-Seam Fastball,17,54.8
Batter_3,Changeup,1,3.2
Batter_3,Curveball,4,12.9
Batter_3,Cutter,3,9.7
Batter_3,Slider,6,19.4
Inning_2_leadoff,4-Seam Fastball,14,46.7
Inning_2_leadoff,Changeup,1,3.3
Inning_2_leadoff,Curveball,12,40.0
Inning_2_leadoff,Slider,3,10.0
Inning_3_leadoff,4-Seam Fastball,16,53.3
Inning_3_leadoff,Changeup,3,10.0
Inning_3_leadoff,Curveball,8,26.7
Inning_3_leadoff,Sinker,1,3.3
Inning_3_leadoff,Slider,2,6.7
