bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,29,96.7
Batter_1,Sinker,1,3.3
Batter_2,4-Seam Fastball,28,93.3
Batter_2,Curveball,1,3.3
Batter_2,Sinker,1,3.3
Batter_3,4-Seam Fastball,19,63.3
Batter_3,Curveball,7,23.3
Batter_3,Sinker,2,6.7
Batter_3,Slider,2,6.7
Inning_2_leadoff,4-Seam Fastball,26,86.7
Inning_2_leadoff,Curveball,2,6.7
Inning_2_leadoff,Slider,2,6.7
Inning_3_leadoff,4-Seam Fastball,19,63.3
Inning_3_leadoff,Curveball,7,23.3
Inning_3_leadoff,Sinker,1,3.3
Inning_3_leadoff,Slider,3,10.0
