bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,10,58.8
Batter_2,Curveball,2,11.8
Batter_2,Cutter,1,5.9
Batter_2,Sinker,1,5.9
Batter_2,Slider,3,17.6
Batter_3,4-Seam Fastball,5,29.4
Batter_3,Changeup,2,11.8
Batter_3,Curveball,2,11.8
Batter_3,Cutter,2,11.8
Batter_3,Sinker,5,29.4
Batter_3,Slider,1,5.9
Inning_2_leadoff,4-Seam Fastball,12,70.6
Inning_2_leadoff,Changeup,1,5.9
Inning_2_leadoff,Cutter,1,5.9
Inning_2_leadoff,Slider,3,17.6
Inning_3_leadoff,4-Seam Fastball,10,58.8
Inning_3_leadoff,Changeup,3,17.6
Inning_3_leadoff,Cutter,1,5.9
Inning_3_leadoff,Sinker,1,5.9
Inning_3_leadoff,Slider,2,11.8
