bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,1,3.2
Batter_1,Cutter,22,71.0
Batter_1,Sinker,8,25.8
Batter_2,4-Seam Fastball,4,12.9
Batter_2,Curveball,4,12.9
Batter_2,Cutter,12,38.7
Batter_2,Sinker,8,25.8
Batter_2,Sweeper,3,9.7
Batter_3,4-Seam Fastball,2,6.5
Batter_3,Curveball,9,29.0
Batter_3,Cutter,8,25.8
Batter_3,Sinker,8,25.8
Batter_3,Sweeper,4,12.9
Inning_2_leadoff,4-Seam Fastball,2,6.5
Inning_2_leadoff,Curveball,5,16.1
Inning_2_leadoff,Cutter,12,38.7
Inning_2_leadoff,Sinker,8,25.8
Inning_2_leadoff,Slider,1,3.2
Inning_2_leadoff,Sweeper,3,9.7
Inning_3_leadoff,4-Seam Fastball,2,6.5
Inning_3_leadoff,Changeup,1,3.2
Inning_3_leadoff,Curveball,9,29.0
Inning_3_leadoff,Cutter,7,22.6
Inning_3_leadoff,Sinker,4,12.9
Inning_3_leadoff,Slider,2,6.5
Inning_3_leadoff,Sweeper,6,19.4
