bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,56.2
Batter_1,Changeup,1,6.2
Batter_1,Sinker,2,12.5
Batter_1,Slider,2,12.5
Batter_1,Sweeper,2,12.5
Batter_2,4-Seam Fastball,9,56.2
Batter_2,Changeup,1,6.2
Batter_2,Sinker,2,12.5
Batter_2,Slider,4,25.0
Batter_3,4-Seam Fastball,5,31.2
Batter_3,Changeup,1,6.2
Batter_3,Sinker,3,18.8
Batter_3,Slider,5,31.2
Batter_3,Sweeper,2,12.5
Inning_2_leadoff,4-Seam Fastball,8,50.0
Inning_2_leadoff,Changeup,1,6.2
Inning_2_leadoff,Sinker,4,25.0
Inning_2_leadoff,Slider,2,12.5
Inning_2_leadoff,Sweeper,1,6.2
Inning_3_leadoff,4-Seam Fastball,8,50.0
Inning_3_leadoff,Changeup,1,6.2
Inning_3_leadoff,Sinker,3,18.8
Inning_3_leadoff,Slider,2,12.5
Inning_3_leadoff,Sweeper,2,12.5
