bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,23,88.5
Batter_1,Cutter,1,3.8
Batter_1,Sinker,2,7.7
Batter_2,4-Seam Fastball,19,76.0
Batter_2,Curveball,2,8.0
Batter_2,Cutter,3,12.0
Batter_2,Sinker,1,4.0
Batter_3,4-Seam Fastball,10,38.5
Batter_3,Changeup,4,15.4
Batter_3,Curveball,7,26.9
Batter_3,Cutter,1,3.8
Batter_3,Sinker,4,15.4
Inning_2_leadoff,4-Seam Fastball,16,61.5
Inning_2_leadoff,Curveball,4,15.4
Inning_2_leadoff,Cutter,3,11.5
Inning_2_leadoff,Sinker,1,3.8
Inning_2_leadoff,Slider,2,7.7
Inning_3_leadoff,4-Seam Fastball,15,57.7
Inning_3_leadoff,Changeup,1,3.8
Inning_3_leadoff,Curveball,3,11.5
Inning_3_leadoff,Cutter,2,7.7
Inning_3_leadoff,Sinker,4,15.4
Inning_3_leadoff,Slider,1,3.8
