bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,9,40.9
Batter_1,Sinker,13,59.1
Batter_2,4-Seam Fastball,7,31.8
Batter_2,Sinker,10,45.5
Batter_2,Sweeper,5,22.7
Batter_3,4-Seam Fastball,3,13.6
Batter_3,Changeup,3,13.6
Batter_3,Sinker,10,45.5
Batter_3,Slider,1,4.5
Batter_3,Sweeper,5,22.7
Inning_2_leadoff,4-Seam Fastball,6,27.3
Inning_2_leadoff,Changeup,1,4.5
Inning_2_leadoff,Sinker,10,45.5
Inning_2_leadoff,Sweeper,5,22.7
Inning_3_leadoff,4-Seam Fastball,5,22.7
Inning_3_leadoff,Changeup,2,9.1
Inning_3_leadoff,Sinker,8,36.4
Inning_3_leadoff,Slider,2,9.1
Inning_3_leadoff,Sweeper,5,22.7
