game_pk,game_date,bucket,pitch_name
823892,2026-03-28,Inning_3_leadoff,Slider
823892,2026-03-28,Inning_2_leadoff,4-Seam Fastball
823892,2026-03-28,Batter_3,Sinker
823892,2026-03-28,Batter_2,Sinker
823892,2026-03-28,Batter_1,4-Seam Fastball
824377,2026-04-03,Inning_3_leadoff,Cutter
824377,2026-04-03,Inning_2_leadoff,4-Seam Fastball
824377,2026-04-03,Batter_3,Changeup
824377,2026-04-03,Batter_2,4-Seam Fastball
824377,2026-04-03,Batter_1,4-Seam Fastball
824374,2026-04-08,Inning_3_leadoff,Cutter
824374,2026-04-08,Inning_2_leadoff,Sinker
824374,2026-04-08,Batter_3,Sinker
824374,2026-04-08,Batter_2,Cutter
824374,2026-04-08,Batter_1,Curveball
824210,2026-04-14,Inning_3_leadoff,4-Seam Fastball
824210,2026-04-14,Inning_2_leadoff,Slider
824210,2026-04-14,Batter_3,Slider
824210,2026-04-14,Batter_2,Curveball
824210,2026-04-14,Batter_1,Sweeper
824371,2026-04-19,Inning_3_leadoff,Sweeper
824371,2026-04-19,Inning_2_leadoff,Sweeper
824371,2026-04-19,Batter_3,Sinker
824371,2026-04-19,Batter_2,Cutter
824371,2026-04-19,Batter_1,4-Seam Fastball
823638,2026-04-24,Inning_3_leadoff,4-Seam Fastball
823638,2026-04-24,Inning_2_leadoff,Sweeper
823638,2026-04-24,Batter_3,4-Seam Fastball
823638,2026-04-24,Batter_2,4-Seam Fastball
823638,2026-04-24,Batter_1,4-Seam Fastball
824524,2026-04-30,Inning_3_leadoff,Sweeper
824524,2026-04-30,Inning_2_leadoff,Sinker
824524,2026-04-30,Batter_3,Curveball
824524,2026-04-30,Batter_2,Sweeper
824524,2026-04-30,Batter_1,4-Seam Fastball
824361,2026-05-06,Inning_3_leadoff,Sinker
824361,2026-05-06,Inning_2_leadoff,Slider
824361,2026-05-06,Batter_3,Sweeper
824361,2026-05-06,Batter_2,Cutter
824361,2026-05-06,Batter_1,4-Seam Fastball
823385,2026-05-12,Inning_3_leadoff,Cutter
823385,2026-05-12,Inning_2_leadoff,Curveball
823385,2026-05-12,Batter_3,Sinker
823385,2026-05-12,Batter_2,4-Seam Fastball
823385,2026-05-12,Batter_1,4-Seam Fastball
824358,2026-05-17,Inning_3_leadoff,4-Seam Fastball
824358,2026-05-17,Inning_2_leadoff,4-Seam Fastball
824358,2026-05-17,Batter_3,4-Seam Fastball
824358,2026-05-17,Batter_2,4-Seam Fastball
824358,2026-05-17,Batter_1,4-Seam Fastball
825080,2026-05-23,Inning_3_leadoff,Cutter
825080,2026-05-23,Inning_2_leadoff,Cutter
825080,2026-05-23,Batter_3,Sinker
825080,2026-05-23,Batter_2,Cutter
825080,2026-05-23,Batter_1,4-Seam Fastball
824353,2026-05-29,Inning_3_leadoff,Cutter
824353,2026-05-29,Inning_2_leadoff,Cutter
824353,2026-05-29,Batter_3,Cutter
824353,2026-05-29,Batter_2,Cutter
824353,2026-05-29,Batter_1,Cutter
824024,2026-06-03,Inning_3_leadoff,Cutter
824024,2026-06-03,Inning_2_leadoff,Sinker
824024,2026-06-03,Batter_3,Curveball
824024,2026-06-03,Batter_2,Slider
824024,2026-06-03,Batter_1,Cutter
