bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,28,90.3
Batter_1,Curveball,1,3.2
Batter_1,Sinker,2,6.5
Batter_2,4-Seam Fastball,12,38.7
Batter_2,Changeup,2,6.5
Batter_2,Curveball,6,19.4
Batter_2,Cutter,3,9.7
Batter_2,Sinker,6,19.4
Batter_2,Sweeper,2,6.5
Batter_3,4-Seam Fastball,8,25.8
Batter_3,Changeup,3,9.7
Batter_3,Curveball,11,35.5
Batter_3,Cutter,1,3.2
Batter_3,Sinker,5,16.1
Batter_3,Slider,1,3.2
Batter_3,Sweeper,2,6.5
Inning_2_leadoff,4-Seam Fastball,10,32.3
Inning_2_leadoff,Changeup,2,6.5
Inning_2_leadoff,Curveball,6,19.4
Inning_2_leadoff,Cutter,2,6.5
Inning_2_leadoff,Sinker,5,16.1
Inning_2_leadoff,Sweeper,6,19.4
Inning_3_leadoff,4-Seam Fastball,7,23.3
Inning_3_leadoff,Changeup,2,6.7
Inning_3_leadoff,Curveball,5,16.7
Inning_3_leadoff,Cutter,5,16.7
Inning_3_leadoff,Sinker,7,23.3
Inning_3_leadoff,Sweeper,4,13.3
