game_pk,game_date,bucket,pitch_name
824945,2026-03-28,Inning_3_leadoff,Cutter
824945,2026-03-28,Inning_2_leadoff,4-Seam Fastball
824945,2026-03-28,Batter_3,4-Seam Fastball
824945,2026-03-28,Batter_2,4-Seam Fastball
824945,2026-03-28,Batter_1,Sinker
824456,2026-04-06,Inning_3_leadoff,Sinker
824456,2026-04-06,Inning_2_leadoff,4-Seam Fastball
824456,2026-04-06,Batter_3,4-Seam Fastball
824456,2026-04-06,Batter_2,4-Seam Fastball
824456,2026-04-06,Batter_1,4-Seam Fastball
824129,2026-04-11,Inning_3_leadoff,4-Seam Fastball
824129,2026-04-11,Inning_2_leadoff,Sinker
824129,2026-04-11,Batter_3,Changeup
824129,2026-04-11,Batter_2,Curveball
824129,2026-04-11,Batter_1,Sinker
823559,2026-04-17,Inning_3_leadoff,Curveball
823559,2026-04-17,Inning_2_leadoff,4-Seam Fastball
823559,2026-04-17,Batter_3,4-Seam Fastball
823559,2026-04-17,Batter_2,Cutter
823559,2026-04-17,Batter_1,4-Seam Fastball
824123,2026-04-22,Inning_3_leadoff,Slider
824123,2026-04-22,Inning_2_leadoff,Curveball
824123,2026-04-22,Batter_3,4-Seam Fastball
824123,2026-04-22,Batter_2,Cutter
824123,2026-04-22,Batter_1,4-Seam Fastball
825015,2026-04-29,Inning_3_leadoff,Sinker
825015,2026-04-29,Inning_2_leadoff,Cutter
825015,2026-04-29,Batter_3,4-Seam Fastball
825015,2026-04-29,Batter_2,Cutter
825015,2026-04-29,Batter_1,4-Seam Fastball
824120,2026-05-04,Inning_3_leadoff,4-Seam Fastball
824120,2026-05-04,Inning_2_leadoff,4-Seam Fastball
824120,2026-05-04,Batter_3,4-Seam Fastball
824120,2026-05-04,Batter_2,4-Seam Fastball
824120,2026-05-04,Batter_1,4-Seam Fastball
824115,2026-05-09,Inning_3_leadoff,Curveball
824115,2026-05-09,Inning_2_leadoff,4-Seam Fastball
824115,2026-05-09,Batter_3,4-Seam Fastball
824115,2026-05-09,Batter_2,4-Seam Fastball
824115,2026-05-09,Batter_1,4-Seam Fastball
823061,2026-05-15,Inning_3_leadoff,4-Seam Fastball
823061,2026-05-15,Inning_2_leadoff,4-Seam Fastball
823061,2026-05-15,Batter_3,4-Seam Fastball
823061,2026-05-15,Batter_2,4-Seam Fastball
823061,2026-05-15,Batter_1,4-Seam Fastball
824111,2026-05-20,Inning_3_leadoff,4-Seam Fastball
824111,2026-05-20,Inning_2_leadoff,Cutter
824111,2026-05-20,Batter_3,Curveball
824111,2026-05-20,Batter_2,4-Seam Fastball
824111,2026-05-20,Batter_1,4-Seam Fastball
824107,2026-05-25,Inning_3_leadoff,Curveball
824107,2026-05-25,Inning_2_leadoff,4-Seam Fastball
824107,2026-05-25,Batter_3,4-Seam Fastball
824107,2026-05-25,Batter_2,Sinker
824107,2026-05-25,Batter_1,4-Seam Fastball
822895,2026-05-31,Inning_3_leadoff,4-Seam Fastball
822895,2026-05-31,Inning_2_leadoff,Slider
822895,2026-05-31,Batter_3,4-Seam Fastball
822895,2026-05-31,Batter_2,4-Seam Fastball
822895,2026-05-31,Batter_1,4-Seam Fastball
823699,2026-06-05,Inning_3_leadoff,Curveball
823699,2026-06-05,Inning_2_leadoff,Slider
823699,2026-06-05,Batter_3,4-Seam Fastball
823699,2026-06-05,Batter_2,4-Seam Fastball
823699,2026-06-05,Batter_1,4-Seam Fastball
824101,2026-06-11,Inning_3_leadoff,Changeup
824101,2026-06-11,Inning_2_leadoff,Sinker
824101,2026-06-11,Batter_3,Slider
824101,2026-06-11,Batter_2,Curveball
824101,2026-06-11,Batter_1,4-Seam Fastball
822723,2026-06-16,Inning_3_leadoff,4-Seam Fastball
822723,2026-06-16,Inning_2_leadoff,Cutter
822723,2026-06-16,Batter_3,4-Seam Fastball
822723,2026-06-16,Batter_2,Sinker
822723,2026-06-16,Batter_1,4-Seam Fastball
