bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,12,85.7
Batter_1,Sinker,2,14.3
Batter_2,4-Seam Fastball,8,57.1
Batter_2,Curveball,2,14.3
Batter_2,Cutter,3,21.4
Batter_2,Sinker,1,7.1
Batter_3,4-Seam Fastball,11,78.6
Batter_3,Changeup,1,7.1
Batter_3,Curveball,1,7.1
Batter_3,Slider,1,7.1
Inning_2_leadoff,4-Seam Fastball,7,50.0
Inning_2_leadoff,Curveball,1,7.1
Inning_2_leadoff,Cutter,2,14.3
Inning_2_leadoff,Sinker,2,14.3
Inning_2_leadoff,Slider,2,14.3
Inning_3_leadoff,4-Seam Fastball,5,35.7
Inning_3_leadoff,Changeup,1,7.1
Inning_3_leadoff,Curveball,4,28.6
Inning_3_leadoff,Cutter,1,7.1
Inning_3_leadoff,Sinker,2,14.3
Inning_3_leadoff,Slider,1,7.1
