game_pk,game_date,bucket,pitch_name
824266,2026-06-10,Inning_3_leadoff,4-Seam Fastball
824266,2026-06-10,Inning_2_leadoff,Changeup
824266,2026-06-10,Batter_3,Cutter
824266,2026-06-10,Batter_2,4-Seam Fastball
824266,2026-06-10,Batter_1,4-Seam Fastball
822887,2026-06-15,Inning_3_leadoff,Changeup
822887,2026-06-15,Inning_2_leadoff,Cutter
822887,2026-06-15,Batter_3,Cutter
822887,2026-06-15,Batter_2,4-Seam Fastball
822887,2026-06-15,Batter_1,4-Seam Fastball
825067,2026-06-21,Inning_3_leadoff,Changeup
825067,2026-06-21,Inning_2_leadoff,4-Seam Fastball
825067,2026-06-21,Batter_3,4-Seam Fastball
825067,2026-06-21,Batter_2,Cutter
825067,2026-06-21,Batter_1,4-Seam Fastball
823689,2026-06-27,Inning_3_leadoff,4-Seam Fastball
823689,2026-06-27,Inning_2_leadoff,4-Seam Fastball
823689,2026-06-27,Batter_3,4-Seam Fastball
823689,2026-06-27,Batter_2,4-Seam Fastball
823689,2026-06-27,Batter_1,4-Seam Fastball
823527,2026-07-03,Inning_3_leadoff,4-Seam Fastball
823527,2026-07-03,Inning_2_leadoff,Cutter
823527,2026-07-03,Batter_3,4-Seam Fastball
823527,2026-07-03,Batter_2,4-Seam Fastball
823527,2026-07-03,Batter_1,4-Seam Fastball
