game_pk,game_date,bucket,pitch_name
824701,2026-03-28,Inning_3_leadoff,Curveball
824701,2026-03-28,Inning_2_leadoff,Slider
824701,2026-03-28,Batter_3,4-Seam Fastball
824701,2026-03-28,Batter_2,Curveball
824701,2026-03-28,Batter_1,Sinker
822758,2026-04-03,Inning_3_leadoff,Sinker
822758,2026-04-03,Inning_2_leadoff,Sinker
822758,2026-04-03,Batter_3,4-Seam Fastball
822758,2026-04-03,Batter_2,Curveball
822758,2026-04-03,Batter_1,Sinker
822753,2026-04-08,Inning_3_leadoff,Curveball
822753,2026-04-08,Inning_2_leadoff,Curveball
822753,2026-04-08,Batter_3,4-Seam Fastball
822753,2026-04-08,Batter_2,Sinker
822753,2026-04-08,Batter_1,4-Seam Fastball
822750,2026-04-19,Inning_3_leadoff,4-Seam Fastball
822750,2026-04-19,Inning_2_leadoff,Slider
822750,2026-04-19,Batter_1,Sinker
823634,2026-04-30,Inning_3_leadoff,Sinker
823634,2026-04-30,Inning_2_leadoff,4-Seam Fastball
823634,2026-04-30,Batter_3,4-Seam Fastball
823634,2026-04-30,Batter_2,4-Seam Fastball
823634,2026-04-30,Batter_1,Sinker
822740,2026-05-06,Inning_3_leadoff,Slider
822740,2026-05-06,Inning_2_leadoff,Curveball
822740,2026-05-06,Batter_3,4-Seam Fastball
822740,2026-05-06,Batter_2,Sinker
822740,2026-05-06,Batter_1,Slider
824521,2026-05-12,Inning_3_leadoff,Sinker
824521,2026-05-12,Inning_2_leadoff,Curveball
824521,2026-05-12,Batter_3,Curveball
824521,2026-05-12,Batter_2,4-Seam Fastball
824521,2026-05-12,Batter_1,4-Seam Fastball
824741,2026-06-29,Inning_3_leadoff,4-Seam Fastball
824741,2026-06-29,Inning_2_leadoff,4-Seam Fastball
824741,2026-06-29,Batter_3,Curveball
824741,2026-06-29,Batter_2,Slider
824741,2026-06-29,Batter_1,4-Seam Fastball
