bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,3,37.5
Batter_1,Sinker,4,50.0
Batter_1,Slider,1,12.5
Batter_2,4-Seam Fastball,2,28.6
Batter_2,Curveball,2,28.6
Batter_2,Sinker,2,28.6
Batter_2,Slider,1,14.3
Batter_3,4-Seam Fastball,5,71.4
Batter_3,Curveball,2,28.6
Inning_2_leadoff,4-Seam Fastball,2,25.0
Inning_2_leadoff,Curveball,3,37.5
Inning_2_leadoff,Sinker,1,12.5
Inning_2_leadoff,Slider,2,25.0
Inning_3_leadoff,4-Seam Fastball,2,25.0
Inning_3_leadoff,Curveball,2,25.0
Inning_3_leadoff,Sinker,3,37.5
Inning_3_leadoff,Slider,1,12.5
