bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,24,92.3
Batter_1,Curveball,1,3.8
Batter_1,Split-Finger,1,3.8
Batter_2,4-Seam Fastball,20,76.9
Batter_2,Curveball,5,19.2
Batter_2,Slider,1,3.8
Batter_3,4-Seam Fastball,17,65.4
Batter_3,Curveball,6,23.1
Batter_3,Slider,3,11.5
Inning_2_leadoff,4-Seam Fastball,20,76.9
Inning_2_leadoff,Curveball,3,11.5
Inning_2_leadoff,Slider,3,11.5
Inning_3_leadoff,4-Seam Fastball,11,44.0
Inning_3_leadoff,Curveball,11,44.0
Inning_3_leadoff,Slider,2,8.0
Inning_3_leadoff,Split-Finger,1,4.0
