bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,20,90.9
Batter_1,Cutter,1,4.5
Batter_1,Sinker,1,4.5
Batter_2,4-Seam Fastball,6,27.3
Batter_2,Curveball,7,31.8
Batter_2,Cutter,6,27.3
Batter_2,Sinker,2,9.1
Batter_2,Split-Finger,1,4.5
Batter_3,4-Seam Fastball,7,31.8
Batter_3,Curveball,9,40.9
Batter_3,Cutter,5,22.7
Batter_3,Split-Finger,1,4.5
Inning_2_leadoff,4-Seam Fastball,8,36.4
Inning_2_leadoff,Curveball,7,31.8
Inning_2_leadoff,Cutter,6,27.3
Inning_2_leadoff,Slider,1,4.5
Inning_3_leadoff,4-Seam Fastball,5,23.8
Inning_3_leadoff,Curveball,6,28.6
Inning_3_leadoff,Cutter,7,33.3
Inning_3_leadoff,Sinker,1,4.8
Inning_3_leadoff,Split-Finger,2,9.5
