bucket,pitch_name,count,pct
Batter_2,4-Seam Fastball,8,42.1
Batter_2,Changeup,2,10.5
Batter_2,Curveball,3,15.8
Batter_2,Sinker,6,31.6
Batter_3,4-Seam Fastball,5,26.3
Batter_3,Changeup,1,5.3
Batter_3,Curveball,10,52.6
Batter_3,Sinker,3,15.8
Inning_2_leadoff,4-Seam Fastball,6,31.6
Inning_2_leadoff,Changeup,3,15.8
Inning_2_leadoff,Curveball,5,26.3
Inning_2_leadoff,Sinker,5,26.3
Inning_3_leadoff,4-Seam Fastball,9,47.4
Inning_3_leadoff,Changeup,1,5.3
Inning_3_leadoff,Curveball,5,26.3
Inning_3_leadoff,Sinker,4,21.1
